"sample","stromal","immune","estimate","purity","type","sam","cancer_type"
"C3N-02421_r",1730.07348291249,-226.320511927151,1503.75297098534,0.678027404970546,"r","C3N-02421","LUAD"
"C3N-00556_r",2716.07116835575,1458.60640127382,4174.67756962958,0.345728344570081,"r","C3N-00556","LUAD"
"C3N-00294_r",-232.888981424038,-447.873221366751,-680.762202790789,0.875145827973606,"r","C3N-00294","LUAD"
"C3N-01072_r",1039.16671718319,259.459292037159,1298.62600922035,0.699848867627528,"r","C3N-01072","LUAD"
"C3L-00094_r",197.863896558848,-652.57906979491,-454.715173236062,0.858612083640971,"r","C3L-00094","LUAD"
"C3L-00144_r",502.323580545402,1274.65161027428,1776.97519081969,0.64801081325847,"r","C3L-00144","LUAD"
"C3N-00223_r",1131.29715817255,2125.17192220918,3256.46908038173,0.468681179590255,"r","C3N-00223","LUAD"
"C3N-02380_r",-891.084198921186,-1301.83831024725,-2192.92250916844,0.960196461383858,"r","C3N-02380","LUAD"
"C3L-01924_r",892.163414513434,1542.6960272553,2434.85944176874,0.571555293279621,"r","C3L-01924","LUAD"
"C3N-00433_r",2641.15115339204,3892.4450962586,6533.59624965063,0.00675293393694603,"r","C3N-00433","LUAD"
"C3L-01683_r",3366.77025640801,3925.81699277881,7292.58724918682,NA,"r","C3L-01683","LUAD"
"C3N-00293_r",5.07334473303024,-507.347578161958,-502.274233428928,0.862169833909995,"r","C3N-00293","LUAD"
"C3L-00009_r",1851.78932216212,798.113968934991,2649.90329109711,0.545373004806243,"r","C3L-00009","LUAD"
"C3N-00546_r",29.5438767001079,2052.22173702843,2081.76561372853,0.613298598246751,"r","C3N-00546","LUAD"
"C3N-01414_r",-530.550774535743,-1525.96056069039,-2056.51133522613,0.954411252546771,"r","C3N-01414","LUAD"
"C3N-02087_r",1394.94184558144,3212.04651487109,4606.98836045253,0.285527383308578,"r","C3N-02087","LUAD"
"C3L-00140_r",-1708.11150056934,-873.036267469963,-2581.1477680393,0.974547057757442,"r","C3L-00140","LUAD"
"C3N-02529_r",377.292758109424,1982.38504925239,2359.67780736181,0.580575873898698,"r","C3N-02529","LUAD"
"C3L-00368_r",285.619276736176,681.913375125454,967.53265186163,0.73372385015418,"r","C3L-00368","LUAD"
"C3N-02067_r",-982.35312890086,-342.422379259684,-1324.77550816054,0.916911217176004,"r","C3N-02067","LUAD"
"C3N-02422_r",-1237.20596756693,-1667.23057554014,-2904.43654310707,0.984084555639458,"r","C3N-02422","LUAD"
"C3L-00080_r",-1818.91767303794,-1256.8324471097,-3075.75012014764,0.988241566883717,"r","C3L-00080","LUAD"
"C3N-00547_r",-14.9338802254205,-1431.68741626139,-1446.62129648681,0.923902149560957,"r","C3N-00547","LUAD"
"C3N-01023_r",480.052904199228,1199.32596319454,1679.37886739376,0.658855077942279,"r","C3N-01023","LUAD"
"C3N-01024_r",-1033.54993718249,-1426.01978054641,-2459.56971772891,0.970391257318157,"r","C3N-01024","LUAD"
"C3L-00973_r",1673.81747367989,2949.16963063413,4622.98710431402,0.283275931851929,"r","C3L-00973","LUAD"
"C3L-02348_r",155.695158335779,1668.3919511401,1824.08710947588,0.642728312808342,"r","C3L-02348","LUAD"
"C3L-02508_r",3183.6666203296,1743.4697279185,4927.13634824811,0.240191055895096,"r","C3L-02508","LUAD"
"C3N-00560_r",-1436.17148762124,-771.548958597588,-2207.72044621883,0.960800936953978,"r","C3N-00560","LUAD"
"C3L-00604_r",80.8475467709178,-983.243933215965,-902.396386445047,0.890421508837856,"r","C3L-00604","LUAD"
"C3N-00199_r",-365.209813744967,-1743.83549235658,-2109.04530610154,0.95668465897047,"r","C3N-00199","LUAD"
"C3N-00579_r",-249.861609044118,1349.25121574241,1099.38960669829,0.720436481461422,"r","C3N-00579","LUAD"
"C3N-02582_r",-1042.84203831518,-524.249830769524,-1567.0918690847,0.930523629446443,"r","C3N-02582","LUAD"
"C3L-02350_r",852.411096400779,1996.91999644933,2849.33109285011,0.520605833526368,"r","C3L-02350","LUAD"
"C3N-00738_r",2198.41981672581,1922.144031965,4120.56384869081,0.353170801489006,"r","C3N-00738","LUAD"
"C3N-00959_r",-305.484017178639,-738.311348262179,-1043.79536544082,0.899675737692122,"r","C3N-00959","LUAD"
"C3N-02003_r",705.794983251596,3503.03715479572,4208.83213804731,0.34101968377264,"r","C3N-02003","LUAD"
"C3N-00175_r",524.193909982499,-525.289839562248,-1.09592957974928,0.822600860971874,"r","C3N-00175","LUAD"
"C3N-01823_r",226.428175736443,276.177779220781,502.605954957224,0.778349359394498,"r","C3N-01823","LUAD"
"C3L-02549_r",-692.253869724463,751.629477844936,59.3756081204733,0.817521159954268,"r","C3L-02549","LUAD"
"C3L-02365_r",-1032.58513710019,-2272.43584712376,-3305.02098422395,0.992826765694762,"r","C3L-02365","LUAD"
"C3N-02587_r",-339.689383874571,1047.57979335962,707.890409485045,0.759080190328408,"r","C3N-02587","LUAD"
