,breast,STAD,colon,HNSC,ovary,Renal,LUSC,LUAD,UCEC,PRAD,PAAD,PedBrain,GBM,HCC
A1BG,0.0104,0.1198,0.069,-0.043,0.0881,0.0396,0.1558,-0.1357,0.1877,0.0434,0.2451,-0.1563,-0.1139,0.489
A2M,0.2407,0.182,-0.071,0.0942,0.1982,0.0133,0.4115,0.3354,-0.0158,-0.0613,0.4774,0.2603,0.4664,0.4852
NAT1,0.7936,0.3798,0.4013,0.5838,0.5283,0.7018,0.7707,0.8055,0.8621,0.7108,0.3096,0.3519,0.5656,0.5943
SERPINA3,0.3312,0.1955,0.222,0.1931,0.0459,0.1732,0.2698,0.1759,0.449,0.4093,-0.0014,0.5292,0.4685,0.5177
AAMP,0.4451,0.3723,0.3273,0.6785,0.7017,0.5641,0.6246,0.3519,0.4932,-0.0048,0.147,0.3168,0.3826,0.47
AARS,0.7346,0.4486,0.438,0.6886,0.7227,0.7914,0.8438,0.9049,0.6835,0.2191,0.5296,0.666,0.6762,0.7834
ABAT,0.8727,0.535,0.7659,0.8604,0.7654,0.153,0.8472,0.9078,0.7151,0.5827,0.3042,0.7638,0.7749,0.8753
ABCA1,0.1321,0.276,,0.3498,0.2598,0.2904,0.8163,0.6101,0.2589,,0.3662,,0.836,0.5799
ABCA2,0.2237,,,0.1127,,0.2954,0.1363,0.2303,0.1921,,0.0223,0.5879,0.8027,0.3279
ABCA3,0.5889,,,0.2445,0.1215,,0.818,0.7669,,,,,0.4873,
ABCB7,0.2514,0.3025,0.2636,0.5082,0.4124,0.3593,0.4406,0.5884,0.0888,0.1421,0.1387,0.1181,0.5193,0.5251
ABCF1,0.5027,0.3175,0.4534,0.7242,0.6345,0.5136,0.7133,0.7747,0.673,0.0157,0.4202,0.37,0.6587,0.5732
ABL1,0.3359,0.1845,-0.0572,0.3189,0.1704,0.5571,0.4589,0.3348,0.5181,,0.2542,-0.0102,0.4573,0.4569
ABL2,0.264,,,0.2991,,0.1666,0.3742,0.4786,0.4715,,0.0493,0.1561,-0.3803,0.2824
ABR,0.7193,0.3877,0.3267,0.7049,0.4317,0.7766,0.7686,0.7446,0.5143,0.036,0.4218,0.7469,0.6327,0.7417
ACAA1,0.5417,0.2658,0.4162,0.5284,0.6027,0.2122,0.4833,0.5903,0.6346,0.105,0.273,0.6694,0.5523,0.7688
ACACA,0.7432,,0.4828,0.7547,0.5377,0.6684,0.7653,0.6951,0.8299,0.5316,0.5504,0.6185,0.7173,
ACACB,0.2613,0.0548,,-0.1576,0.0373,0.0751,,,,,0.1268,,0.2645,0.5833
ACADL,0.4958,0.3301,,0.1725,0.4342,0.5193,0.5279,0.48,0.632,0.7191,0.4505,,0.5876,0.7792
ACADM,0.6482,0.0989,0.4514,0.6909,0.5586,0.5316,0.5432,0.5876,0.5429,0.192,0.4329,0.3743,0.5295,0.7433
ACADS,0.5921,0.1166,0.3841,0.4856,0.6174,0.4562,0.4789,0.5575,0.5972,0.1797,0.4109,0.3577,0.5083,0.6922
ACADSB,0.8485,0.2552,0.5333,0.8397,0.7157,0.3742,0.8068,0.8188,0.5793,0.3843,0.6245,0.4868,0.6563,0.8673
ACADVL,0.4393,0.1684,0.5169,0.5049,0.7117,0.5143,0.6099,0.7155,0.4983,0.2154,0.4909,0.3228,0.5961,0.4611
ACAT1,0.6579,0.2622,0.3903,0.7447,0.7631,0.4264,0.682,0.7394,0.5334,0.2083,0.498,0.3528,0.4988,0.7699
ACAT2,0.6483,0.2884,0.318,0.8501,0.6327,0.5031,0.8724,0.7379,0.7178,0.3782,0.487,0.5866,0.5726,0.8288
ACLY,0.6733,0.4548,0.401,0.7917,0.5665,0.6354,0.8015,0.7348,0.7283,0.3325,0.6354,0.2518,0.3403,0.5105
ACO1,0.6841,0.2169,0.4661,0.1932,0.6309,0.4919,0.7416,0.8235,0.7026,0.0544,0.4416,0.5544,0.6976,0.6981
ACO2,0.518,-0.0034,0.1591,0.4289,0.6621,0.6045,0.703,0.5423,0.3711,-0.056,0.5444,0.6137,0.6847,0.7011
ACOX1,0.4497,0.3378,0.4544,0.486,0.4862,0.4158,0.47,0.3269,0.4415,0.2119,0.3258,0.3364,0.4268,0.7171
ACP1,0.3636,0.2158,0.1339,0.3553,0.5741,0.3338,0.59,0.3345,0.2702,0.1177,0.0727,0.5294,0.2789,0.6761
ACP2,0.5489,0.2571,0.4868,0.687,0.4906,0.6812,0.719,0.542,0.5697,0.3135,0.4223,0.635,0.5043,0.4653
ACP5,0.4985,0.6277,0.373,0.7769,0.4551,0.795,0.4789,0.3761,0.6935,0.4541,0.6415,,0.6476,0.755
ACPP,0.6683,0.3996,0.6078,0.8176,0.6667,0.1887,0.8095,0.8538,0.7603,0.3274,0.4294,,0.5834,
ACTA1,0.229,0.2253,0.1314,0.7,0.0243,0.2224,0.1792,0.0815,0.1252,0.3724,0.191,0.0631,-0.0402,0.1105
ACTA2,0.4609,0.4165,0.2332,,0.4798,0.6665,0.5669,,0.7352,-0.1234,0.5111,,0.5635,0.5104
ACTB,0.3327,0.184,0.1316,0.5449,0.4159,0.3909,0.6185,0.378,0.4376,-0.1221,0.2242,0.2743,0.5607,0.4887
ACTG1,0.0532,,-0.0148,0.2096,0.2876,0.1349,0.0244,0.0797,0.1302,-0.1611,0.2708,0.0803,0.4146,
ACTG2,0.3419,0.3943,0.3803,0.1241,0.4774,,0.4931,0.4392,0.7396,0.1952,0.4015,,,
ACTN4,0.5206,0.0114,0.2026,0.4923,0.6253,0.5375,0.7286,0.698,0.5222,0.2812,0.4705,0.6488,0.6855,0.5247
ACTL6A,0.4484,0.155,0.2953,0.6338,0.4439,0.3976,0.7274,0.4385,0.3571,0.1935,0.0278,0.7264,0.4406,0.5802
ACTN1,0.6239,0.3634,0.1784,0.6852,0.4953,0.6633,0.7818,0.6496,0.682,-0.1822,0.5139,0.666,0.8139,0.4947
ACTN2,0.0936,0.323,0.1264,0.7259,0.0158,0.0583,0.0765,0.2516,0.3184,0.0646,0.2746,0.149,0.1588,0.0749
ACTN3,0.0295,,0.0156,0.2233,0.0227,0.0602,-0.0779,,,,-0.0621,,-0.1518,
ACVR1,0.4062,0.3085,,0.6379,0.2838,0.3333,0.652,0.5973,0.4661,,-0.0,,0.3663,0.547
ACY1,0.5793,,0.5597,0.5913,0.7287,,0.5846,0.736,,,0.6114,0.4466,,
ACYP1,0.4613,0.1372,0.1751,0.4709,0.6464,0.3131,0.6304,0.4617,0.3426,0.3596,0.217,0.7697,0.5358,0.5947
ACYP2,0.3515,0.04,0.2932,0.3322,0.5585,0.5359,0.3372,0.4208,0.4937,0.2765,0.1402,0.6088,0.4644,0.7173
ADA,0.5754,0.173,0.5099,0.7617,0.6599,0.8083,0.8527,0.9096,0.8031,-0.0338,0.6447,0.6909,0.8584,0.8018
ADAM10,0.3598,0.0922,0.302,0.6057,0.5649,0.2462,0.6173,0.4725,0.3333,0.0663,0.384,0.2832,0.3686,0.3902
ADAR,0.6206,0.1599,0.5307,0.7049,0.4493,0.6294,0.6676,0.8652,0.7224,0.107,0.5892,0.2881,0.4707,0.6179
ADARB1,0.4489,0.0903,,0.6364,0.1388,0.837,0.6818,0.4292,0.4699,0.1076,0.099,0.4771,0.4005,0.2868
ADCY5,0.3542,0.1046,,,,0.7602,,,,0.0149,0.2505,,0.6013,0.2113
ADCY6,0.2611,0.3179,0.2031,0.1334,0.2262,0.3501,0.4527,0.4147,0.0299,0.0154,,,0.066,0.1727
ADCY7,0.0854,0.0459,,0.1643,0.1879,,0.4944,0.4597,0.4329,,0.2325,,0.3558,-0.077
ADCY9,0.4252,0.3199,,,,0.2732,0.573,0.7516,0.6189,,0.3182,,0.4283,0.5342
ADD1,0.1855,0.4319,0.0852,0.1387,0.2716,0.1525,0.283,0.3404,0.4337,-0.0204,0.2867,0.5106,0.3259,0.4838
ADD2,0.4368,0.0217,0.0561,0.5432,0.6586,0.116,0.7044,0.3103,0.4705,,0.5801,0.7035,0.4484,0.1595
ADD3,0.5812,0.2011,0.2885,0.7351,0.5527,0.5746,0.4342,0.6657,0.6794,0.2055,0.2458,0.804,0.8369,0.7634
PLIN2,0.6374,0.3098,0.3528,0.5435,0.446,0.3337,0.6674,0.5739,0.2161,0.487,0.5323,0.4638,0.6418,0.6255
ADH1A,0.4873,0.4362,0.1957,,0.1388,0.1531,0.1356,0.3984,-0.0046,,0.4744,,,0.6034
ADH1B,0.8392,0.6016,0.3733,0.5928,0.7699,0.5966,0.5683,0.8401,0.6215,0.3316,0.8639,0.2928,0.5531,0.746
ADH1C,0.6016,0.4884,0.4214,0.508,0.2863,0.4639,0.4162,0.444,0.477,0.3009,0.4518,0.0722,,0.6377
ADH4,0.3308,0.3501,-0.2106,-0.0306,0.1363,0.0971,0.0613,0.2547,,,0.0833,,,0.6762
ADH5,0.4348,0.3504,0.3485,0.6874,0.5188,0.6199,0.7223,0.679,0.6702,0.1326,0.1315,0.351,0.1869,0.5591
ADK,0.5732,0.1664,0.3512,0.8221,0.5884,0.647,0.7271,0.8569,0.6386,0.2413,0.5936,0.589,0.6884,0.7769
ADPRH,0.5461,0.3176,0.3677,0.7255,0.6189,0.6678,0.8484,0.8479,0.8511,0.3266,0.5022,0.6787,0.8404,0.6084
PARP1,0.7362,0.2299,0.5932,0.8443,0.729,0.6032,0.8307,0.7635,0.8501,0.0473,0.6663,0.5428,0.5036,0.7865
PARP4,0.4753,0.3081,0.4857,0.6123,0.3958,0.4014,0.5686,0.6521,0.5148,0.0453,0.6346,0.5528,0.7276,0.2365
GRK2,0.6523,0.1887,0.2427,0.6825,0.2995,0.6057,0.5709,0.7066,0.5551,0.259,0.3414,,0.4982,0.5244
GRK3,0.2051,,,0.3397,0.1647,0.5474,0.4953,0.4445,0.0548,,0.0173,,0.3824,0.4381
ADSL,0.7052,0.4809,0.4939,0.6365,0.3998,0.3947,0.7248,0.7485,0.6594,0.1652,0.4548,0.5744,0.4805,0.7492
ADSS,0.6364,0.3065,0.2005,0.5978,0.5295,0.3799,0.6312,0.6358,0.6032,0.5147,0.5643,0.4635,0.7078,0.6072
AP2A1,0.4427,0.1822,0.1955,0.2555,0.5172,0.4496,0.5227,0.4946,0.3212,-0.0624,0.1536,0.376,0.2574,0.2133
AP2A2,0.4646,0.152,0.2359,0.5277,0.5357,0.5325,0.6887,0.6318,0.5087,-0.0206,0.2161,0.346,0.3869,0.0959
AP1B1,0.4068,0.2246,0.1911,0.0442,0.4891,0.394,0.4807,0.4381,0.5372,0.1455,0.1846,0.3115,0.4573,0.2792
AP2B1,0.1849,0.0861,0.0842,0.141,0.2281,0.2555,0.1595,0.1222,0.1704,0.067,0.0099,0.2534,0.2302,0.2256
AP1G1,0.5183,0.4015,0.2724,0.5815,0.4122,0.5542,0.6484,0.7338,0.6249,0.2017,0.3167,0.1777,0.3568,0.4906
AEBP1,0.6043,0.4673,0.5437,0.8182,0.5833,0.5656,0.7475,0.6576,0.7554,0.4538,0.5864,0.3123,0.4462,0.7394
AES,0.3849,0.1828,0.3064,0.3812,0.4823,0.2905,0.4516,0.458,0.485,-0.0483,0.2612,0.2142,0.6212,0.34
AFM,-0.031,-0.0134,-0.1059,-0.0223,-0.0192,0.0439,-0.041,0.0534,-0.0511,-0.0847,-0.2724,-0.1027,-0.1614,0.2422
AGA,0.4693,0.2836,0.122,0.6059,0.3821,0.5292,0.4992,0.6961,0.5433,-0.0929,0.5405,0.4769,0.6768,0.5504
ACAN,0.4346,0.3153,0.2774,0.3353,0.3641,0.8251,0.4968,0.5066,0.4944,0.2994,0.5162,0.7288,0.6865,0.5645
AGL,0.7653,0.0847,0.5151,0.6383,0.4951,0.4951,0.7508,0.6195,0.4075,-0.0285,0.4418,0.3607,0.7499,0.6701
JAG1,0.3464,0.0443,0.3586,0.8239,0.2216,0.3385,0.8978,0.692,0.7206,0.5535,0.6301,,0.7311,
AGT,0.1949,0.2846,-0.1669,0.0388,0.1341,-0.0641,0.2237,0.2462,0.2201,0.2422,0.0866,0.2827,0.3611,0.6711
AHCY,0.5189,0.4635,0.4628,0.8263,0.6086,0.4469,0.8875,0.7305,0.6294,0.1142,0.4032,0.5153,0.4532,0.695
AHR,0.6492,0.2988,0.3851,0.6976,0.5886,0.8702,0.8163,0.7842,0.8175,,0.633,0.6756,0.892,0.7065
AHSG,-0.1128,-0.1128,0.1292,-0.2724,0.0694,-0.203,-0.1775,0.2016,0.0743,0.2152,-0.2506,0.1608,-0.0882,0.4719
AIF1,0.5035,0.3665,0.3677,0.8393,0.6428,0.7882,0.8895,0.8578,0.8745,0.2915,0.6551,0.6508,0.9283,0.6633
CRYBG1,0.7488,0.3383,0.6928,0.9226,0.6705,0.8469,0.8851,0.878,0.9444,0.2833,0.7294,,0.8549,0.7725
AK1,0.3579,0.295,0.6018,0.6704,0.6364,0.4897,0.67,0.8202,0.7095,0.3559,0.456,0.7676,0.7699,0.6275
AK2,0.4309,0.1808,0.1105,0.5799,0.5728,0.2287,0.4357,0.6782,0.5139,-0.104,0.3294,0.4488,0.467,0.4612
AK4,0.8634,0.4365,0.5865,0.8511,0.7535,0.5768,0.7203,0.9036,0.8531,0.4485,0.7493,0.6025,0.7529,0.6967
AKT1,0.4589,0.2632,0.2337,0.3511,0.5008,0.5866,0.6097,0.5765,0.0152,0.0852,0.1827,0.3037,0.6535,0.6613
AKT2,0.4318,0.1532,0.1679,0.4443,0.4575,0.2542,0.6193,0.3709,0.3802,-0.2356,0.2321,0.4441,0.5916,0.5383
ALAD,0.5848,0.1923,0.2985,0.3851,0.4674,0.0759,0.2701,0.4853,0.3633,0.3682,0.2717,0.7374,0.4457,0.7144
ALAS1,0.19,-0.0762,0.1141,0.1256,,0.1884,0.3348,0.1757,0.392,,0.0411,,0.1435,0.6374
ALB,0.1639,-0.1515,-0.0615,0.3087,-0.0379,0.0467,-0.0276,-0.0569,-0.1331,0.1014,-0.1416,0.0518,0.0742,-0.0786
ALCAM,0.8492,0.3617,0.6689,0.9232,0.8791,0.7173,0.9163,0.8326,0.8949,0.3156,0.6929,0.8043,0.7851,0.6202
ABCD1,0.5392,0.3898,0.3261,0.6421,0.4941,0.4742,0.6146,0.6958,0.586,-0.308,0.3989,,0.6619,0.518
ALDH1A1,0.6854,0.3331,0.6263,0.7937,0.6425,0.7184,0.9088,0.84,0.8601,0.3593,0.7822,0.7411,0.8093,0.8833
ALDH2,0.7008,0.4899,0.5435,0.7491,0.8676,0.53,0.7965,0.6534,0.7264,0.3573,0.6735,0.7199,0.6861,0.7815
ALDH3A1,0.1681,0.295,0.1068,0.7255,0.3377,0.2825,0.8868,0.6096,0.7222,,0.7272,0.2775,0.3795,0.6385
ALDH1B1,0.5489,0.5539,0.6528,0.6269,0.6681,0.3828,0.7326,0.4428,0.7393,0.3,0.4431,0.2844,0.3181,0.7754
ALDH1A3,0.6704,0.5986,0.3739,0.763,0.6506,0.7124,0.7932,0.803,0.7744,0.3574,0.5564,0.845,0.7097,0.4015
ALDH3B1,0.1452,0.2478,0.0847,0.13,0.3249,0.5784,0.4882,0.683,0.5851,,0.3625,,0.7512,0.0007
ALDH9A1,0.7212,0.1808,0.3645,0.7399,0.6694,0.597,0.796,0.6856,0.6411,-0.0188,0.556,0.6309,0.6999,0.6584
ALDH3A2,0.7196,0.2393,0.531,0.7614,0.7399,0.7218,0.9181,0.9206,0.8168,0.2295,0.7155,0.5895,0.7119,0.8602
ABCD2,0.193,,,,,,,,,,,,0.7302,
ALDOA,0.4943,0.4,0.5263,0.5867,0.7752,0.6512,0.8353,0.8,0.7192,0.0108,0.6554,0.5612,0.6784,0.8812
ALDOB,-0.0927,0.0112,0.4333,-0.1757,,0.2084,-0.2849,0.3759,,,0.1542,0.2155,-0.0377,0.8601
ALDOC,0.4341,0.3188,0.3748,0.6331,0.2781,0.8361,0.7593,0.7501,0.6054,-0.036,0.7158,0.8257,0.8569,0.7845
AKR1B1,0.5157,0.3365,0.4165,0.6628,0.6505,0.887,0.8322,0.7861,0.819,0.2925,0.5869,0.419,0.6441,0.7689
ALOX5,0.5941,0.3305,0.6051,0.7665,0.6838,0.9321,0.8399,0.836,0.8507,0.3528,0.6455,0.6786,0.9251,0.705
ALOX5AP,0.2948,0.4543,0.5655,0.5413,0.412,0.6525,0.5653,0.7211,0.628,0.1586,0.5117,0.7123,0.741,0.5145
ALOX15,0.2159,0.3275,0.3254,0.6662,0.2128,,0.7171,0.5625,0.7463,,0.513,,,0.2644
ALOX15B,0.5227,-0.0762,,0.7653,,,0.7479,0.8507,0.452,0.8503,0.3746,,0.365,0.6101
ALPL,0.5593,0.2546,0.3999,0.754,0.8231,0.891,0.8673,0.8617,0.8725,-0.547,0.7694,0.6764,0.7114,0.6749
AMBP,-0.0614,0.0288,-0.0241,-0.011,-0.0056,-0.0716,-0.0713,-0.1559,-0.0725,0.1273,-0.287,-0.1591,-0.0008,0.4169
AMD1,0.3615,,,,,,0.0572,,0.3927,,,,0.3932,
AMFR,0.2664,0.4095,,0.1882,0.2378,0.3873,0.4568,0.4505,0.3809,-0.0177,0.0755,,0.2242,0.6831
AMPD2,0.326,0.4966,0.2501,0.6268,0.54,0.4502,0.6811,0.6722,0.5915,-0.0226,0.2687,0.5598,0.5173,0.5378
AMPD3,0.5484,0.3791,0.401,0.6324,0.4787,0.7034,0.7468,0.5314,0.7078,0.692,0.6743,0.7238,0.8821,0.5982
AMPH,0.6642,0.3666,,0.3627,0.2885,-0.0007,0.6349,0.3889,0.7557,,0.4787,0.6708,0.5711,0.1204
BIN1,0.547,0.4155,0.5863,0.8416,0.7189,0.7266,0.82,0.7011,0.7032,0.1874,0.6426,0.7288,0.7924,0.8124
AMT,0.2785,0.3393,0.5271,0.345,0.5745,0.5238,0.2168,0.3223,0.6633,0.4163,0.5405,0.6765,0.4541,0.6282
AMY2B,0.184,,,,0.037,,,,,,0.2562,,,
ANG,0.238,0.2612,0.0122,0.2345,0.1611,0.0486,0.2898,0.2601,0.2069,0.1828,0.2428,0.3093,0.3475,0.5808
ANGPT2,0.3231,,,0.506,,0.831,0.5593,0.6784,0.6322,,0.7387,0.5478,0.8191,
ANK1,0.1515,-0.1817,0.0616,0.1178,-0.0697,0.1534,0.012,0.1015,0.0343,0.1493,0.0904,0.1848,-0.0187,0.1635
ANK2,0.5547,0.5355,0.1499,0.7976,0.3068,0.7306,0.6649,0.593,0.7932,0.3127,0.7273,0.748,0.5798,0.5118
ANK3,0.6778,0.397,0.4057,0.8552,0.5853,0.7646,0.8421,0.8843,0.8839,0.3878,0.8259,0.4664,0.7957,0.737
ANPEP,0.7292,0.6433,0.5089,0.7454,0.6763,0.338,0.7419,0.8235,0.8441,0.7404,0.4276,0.4762,0.8249,0.6298
SLC25A4,0.2711,0.0138,-0.1052,0.2463,0.2773,0.2175,0.2409,0.2883,0.3869,0.1178,0.2854,0.3749,0.4411,0.3868
SLC25A5,0.6428,0.1781,0.3253,0.4811,0.4149,0.6337,0.653,0.5361,0.3973,0.2663,0.3931,0.2672,0.0364,0.5302
SLC25A6,0.1482,0.1626,0.3122,0.1623,0.207,0.2153,0.398,0.3285,0.271,0.0516,0.4032,,0.012,-0.001
ANXA1,0.7126,0.3407,0.4766,0.8462,0.8361,0.7984,0.8231,0.8458,0.8857,0.3292,0.6969,0.8147,0.8691,0.6245
ANXA2,0.4114,0.2358,0.5846,0.8467,0.7058,0.5412,0.8551,0.8157,0.8193,,0.4978,0.6565,0.862,0.7583
ANXA3,0.8495,0.4285,0.3064,0.7251,0.7529,0.7941,0.5712,0.6082,0.7383,0.0405,0.79,0.6544,0.4559,0.4616
ANXA4,0.5888,0.4887,0.4644,0.7947,0.7436,0.7053,0.69,0.8121,0.8519,0.1107,0.7978,0.8016,0.8674,0.8381
ANXA5,0.4276,0.3557,0.4515,0.6616,0.5664,0.4213,0.8754,0.691,0.6424,0.091,0.3239,0.6214,0.707,0.8583
ANXA6,0.6901,0.3243,0.5113,0.807,0.5876,0.7961,0.8703,0.6798,0.8033,0.1315,0.5521,0.7379,0.5994,0.8061
ANXA7,0.4934,0.2025,0.2683,0.4999,0.5766,0.4841,0.6756,0.5883,0.6981,0.0226,0.338,0.7114,0.7926,0.7366
ANXA11,0.6842,0.4426,0.3956,0.6157,0.68,0.5543,0.7435,0.7991,0.8101,0.3696,0.4146,0.7843,0.8191,0.693
ANXA13,0.0681,0.6599,0.7181,-0.023,0.158,0.9488,,0.1589,0.2343,,0.7225,,,0.8783
AOAH,0.525,0.1271,,0.8561,,0.7172,0.8778,0.7837,0.7751,,0.6786,,0.8121,0.4452
AOX1,0.581,0.2677,0.1542,0.8931,0.5821,0.7884,0.7464,0.8497,0.5215,0.3375,0.7203,,0.632,0.8857
APAF1,0.4169,0.2659,0.2238,0.5732,0.5275,0.5085,0.5261,0.6124,0.5729,-0.185,0.3373,0.1439,0.3818,0.4072
NUDT2,0.5688,0.2617,0.5168,0.7443,0.5235,0.6981,0.8209,0.7821,0.6441,0.3223,0.6068,0.3859,0.7972,0.7535
APOF,0.0974,-0.0632,0.0319,0.051,-0.0705,0.0258,0.0108,0.1374,-0.1839,-0.0897,0.0324,-0.1884,0.0097,0.2948
APBA1,0.4547,,,,,0.5133,0.4174,0.6744,0.5727,,0.3514,0.5021,0.7403,0.8074
APBA2,0.3676,,,0.1774,,,0.6877,0.4622,0.7846,,,0.7704,0.8234,
APBB1,0.317,0.3232,,0.3382,0.4313,0.6103,0.7645,0.759,0.7676,,0.3048,0.5548,0.7422,0.428
APBB2,0.7238,0.1603,0.1465,0.747,0.5138,0.8221,0.8378,0.7002,0.6686,,0.519,,0.4787,0.5742
APC,0.1677,0.0204,-0.0255,0.2182,0.1826,0.3703,0.5995,0.5388,0.5148,,0.2835,0.3888,0.7817,0.3404
APCS,-0.0137,-0.0497,-0.0401,0.0412,0.0122,0.2377,0.1396,0.0106,-0.0495,0.0831,-0.0955,0.0147,0.2207,0.6346
APEH,0.4165,0.3542,0.4767,0.6603,0.6506,0.3316,0.5362,0.3863,0.5108,0.1844,0.3206,0.2631,0.2899,0.4988
APEX1,0.5597,0.1905,0.3376,0.5115,0.5679,0.531,0.7398,0.5804,0.378,0.3074,0.2425,0.5409,0.6132,0.6396
BIRC2,0.276,0.0205,0.0442,0.6998,0.3855,0.1397,0.4664,0.2979,0.0392,,0.2469,0.1391,0.3475,0.2365
XIAP,0.4227,0.2635,0.2282,0.4319,0.4885,0.3782,0.5877,0.7024,0.5112,-0.3501,0.4862,0.2856,0.3757,0.5373
BIRC5,0.5762,,,0.4959,0.5785,,0.5216,,0.5343,,,,,
APLP2,0.6202,0.2211,0.3274,0.759,0.6814,0.6405,0.6896,0.7276,0.5266,0.2731,0.6526,0.3642,0.5471,0.6154
APOA1,-0.0652,-0.0774,0.1105,0.1082,-0.075,0.0904,0.2269,0.1908,0.1136,0.1639,-0.1356,0.0013,0.0164,0.1737
APOA2,0.0731,-0.0676,-0.0828,0.3065,-0.0672,-0.04,0.2399,0.1977,0.1303,0.2542,0.0692,0.0082,0.3413,0.4435
APOA4,-0.0864,-0.0028,-0.0855,0.141,-0.0865,-0.0487,0.0512,0.0175,-0.133,0.0413,0.0078,-0.1399,0.1427,0.2345
APOB,0.1179,-0.0242,0.1272,0.0425,0.166,-0.0499,0.06,0.0718,0.0799,0.2132,0.0319,-0.0219,0.07,0.5763
APOC1,-0.1602,-0.1578,0.2256,-0.2336,-0.1081,-0.0406,-0.1298,0.1006,0.1432,-0.078,0.1204,0.2378,0.2088,0.5829
APOC2,-0.1059,-0.1171,0.0425,,0.0945,,,,,,0.0257,,,
APOC3,-0.0782,-0.0297,0.0587,-0.1015,0.0639,-0.0116,-0.0124,0.0276,0.0958,0.1232,0.0004,-0.09,-0.0646,0.7214
APOC4,-0.1132,-0.0493,,-0.0081,0.0036,-0.0197,0.1185,-0.1093,0.0728,,0.0588,,-0.1128,0.8204
APOD,0.4716,0.136,0.0917,0.3374,0.3064,-0.0543,0.4131,0.5109,0.0931,0.4916,0.6021,0.8187,0.6823,0.0832
APOE,0.2151,0.2768,0.5018,0.4504,0.3904,0.2866,0.3786,0.5369,0.477,-0.0652,0.3712,0.5804,0.4253,0.6034
APOH,-0.1208,0.0411,-0.0475,0.096,-0.0532,-0.1825,0.1175,-0.1888,-0.1023,0.2825,0.1952,-0.0348,-0.1152,0.3087
APP,0.613,0.3377,0.4274,0.8608,0.6805,0.5197,0.7351,0.7788,0.698,0.4257,0.6268,0.3674,0.5575,0.785
APRT,0.4549,0.1168,0.2018,0.7059,0.6342,0.5601,0.7085,0.6288,0.3007,0.1941,0.0732,0.5874,0.5814,0.5865
FAS,0.5456,0.4689,0.4858,0.873,0.6342,0.7266,0.8643,0.8389,0.6478,0.063,0.5821,0.7064,0.7666,0.7635
SHROOM2,0.6095,,0.2481,0.6493,0.3391,0.787,0.8794,0.8093,0.7198,-0.2707,0.708,0.4545,0.8294,0.7551
AQP1,0.4836,0.2852,0.3163,,0.5491,0.6456,0.5669,0.6751,,0.3669,0.633,0.7863,0.6178,0.5793
AQP5,0.6383,0.7119,,0.7206,0.5795,,0.7076,0.7545,0.8737,,0.8286,,,
AR,0.7278,,,,,,0.2608,,0.7575,0.181,,,0.7674,0.7967
ARAF,0.2803,0.4312,0.1832,0.4809,0.3524,0.3344,0.5728,0.6566,0.2762,0.2477,0.044,-0.0087,0.5332,0.556
ARCN1,0.3788,0.3214,0.3284,0.495,0.4679,0.4582,0.5778,0.5192,0.4325,0.1974,0.2206,0.3531,0.4866,0.2359
ARF1,0.113,0.1442,0.0335,0.2179,0.0762,0.1771,0.3311,0.3087,0.3418,0.0198,0.2213,-0.0697,,0.3833
ARF3,0.228,0.1084,0.0636,0.1889,0.1878,0.4381,0.2691,0.181,0.2753,,,0.4486,0.402,-0.1247
ARF4,0.2476,0.2379,0.1942,0.3895,0.4754,0.5573,0.5997,0.4492,0.4831,0.1188,0.1175,0.2243,0.3008,0.5679
ARF5,0.2232,-0.0526,0.1154,0.2914,0.2438,0.2097,0.1856,0.3257,0.3499,0.116,0.3134,0.2593,0.2663,0.2795
ARF6,0.3325,-0.0793,0.379,0.6356,0.5981,0.4898,0.8112,0.5301,0.3597,-0.1569,0.1567,0.0899,0.4235,0.3284
ARG1,-0.0339,-0.0596,0.0092,0.3767,0.1275,0.1942,-0.1499,-0.0741,-0.163,,0.0113,0.1451,0.2935,0.89
ARG2,0.4162,,,0.7553,,0.7456,0.6475,0.7933,0.6743,0.7919,,,0.6151,0.275
RHOA,0.1837,0.258,0.0336,0.3527,0.1927,0.0986,0.4495,0.229,0.2455,-0.1274,0.0566,0.1785,0.1777,0.1617
RHOB,0.4115,0.4129,0.1624,0.2685,0.163,0.389,0.1682,0.2302,0.1307,0.2467,0.1446,0.4866,0.5406,0.203
RHOC,0.4002,0.3123,0.146,0.524,0.1338,0.3391,0.7213,0.485,0.34,0.2726,0.109,0.3167,0.3449,0.4752
RND3,0.7344,,,0.7239,,0.3557,0.7415,0.7435,0.6975,,0.2513,,0.7224,0.4709
RHOG,0.4365,0.1849,0.3622,0.4764,0.4356,0.4912,0.5106,0.5217,0.5834,0.0136,0.439,0.6416,0.7048,0.6332
ARHGAP1,0.6532,0.5379,0.2006,0.593,0.5327,0.5212,0.6915,0.6694,0.4582,0.0233,0.5006,0.6483,0.4822,0.4352
ARHGAP4,0.4355,0.1392,0.6901,0.8256,0.7986,0.8409,0.8428,0.8611,0.8495,0.3079,0.7546,0.3904,0.8647,0.8426
ARHGAP5,0.5928,0.3034,0.2617,0.7717,0.3406,0.7453,0.6254,0.8082,0.479,0.289,0.5469,0.4406,0.623,0.4243
ARHGAP6,0.4143,0.4483,0.0686,0.115,0.1017,0.709,0.6035,0.7186,0.6177,0.6431,0.2694,0.5725,0.8576,0.0583
