,breast,STAD,colon,HNSC,ovary,Renal,LUSC,LUAD,UCEC,PRAD,PAAD,PedBrain,GBM,HCC
DNAJB4,0.5354,0.2739,0.3685,0.6024,0.2645,0.599,0.7641,0.6943,0.5845,0.1659,0.1412,0.4629,0.4034,0.6657
KERA,0.4883,,,0.2619,-0.0008,,,,,,0.0893,,,
ESM1,0.6354,,,,,0.6553,0.6103,0.8804,0.8078,,,,0.7219,
DIDO1,0.2778,0.2813,0.4906,0.2751,0.2129,0.211,0.4849,0.6759,0.2327,0.1661,0.3678,0.255,0.5775,0.3803
WDR5,0.3542,0.3075,0.3347,0.534,0.4903,0.5507,0.69,0.4045,0.1275,0.1187,0.2145,0.6282,0.4448,0.6774
CACFD1,0.2809,0.2753,,,,0.3314,0.5057,,,,0.131,,0.1674,0.6182
NUPL2,0.3385,0.3106,0.0136,0.3727,0.2871,0.3259,0.4967,0.3834,0.2196,0.218,-0.031,0.1801,0.3188,0.3068
PRSS23,0.5288,0.1006,0.3116,0.6511,0.6231,0.5954,0.6394,0.6807,0.615,0.4136,0.5619,,0.7253,0.3497
HNRNPUL1,0.348,0.0525,0.3764,0.5293,0.6263,0.4642,0.7081,0.5552,0.2614,0.2211,0.2765,0.6385,0.6687,0.5433
ATE1,0.5483,0.0032,0.2447,0.4962,0.5128,0.6834,0.6526,0.8368,0.6807,0.0358,0.5875,0.4618,0.7217,0.4162
RPP14,-0.0347,0.0711,0.1112,0.0565,0.1088,-0.0252,0.0587,0.1714,0.1051,,0.1388,,0.2588,0.008
KRR1,-0.0321,0.1055,0.0349,0.2476,0.2759,0.1483,0.2918,0.2541,0.0609,0.0741,0.3422,,0.2376,0.051
KATNA1,0.3771,0.0469,0.0942,0.2851,0.2714,0.2139,0.2387,0.2554,-0.0856,,0.1661,,0.3709,0.3871
HIBADH,0.5655,0.0726,0.5301,0.4719,0.7933,0.556,0.6191,0.72,0.7218,0.0269,0.295,0.2666,0.5164,0.776
CIT,0.7618,0.0442,-0.0818,0.6026,0.3205,0.8087,0.7544,0.7798,0.7246,,0.4625,0.403,0.7239,0.1584
FGFR1OP,0.5983,0.2836,0.2332,0.3398,0.4309,0.7713,0.5329,0.3111,0.366,,0.164,0.5977,0.5255,0.6225
EMILIN1,0.4435,0.5071,0.344,0.6475,0.5445,0.8553,0.7496,0.6657,0.8072,0.2787,0.6286,0.4165,0.663,0.8339
BTN3A2,0.5585,0.2827,,0.7218,0.6106,0.7753,0.7434,0.6509,0.4703,,,,0.7355,0.7389
BTN3A1,0.3871,0.1929,,,0.562,0.7408,0.802,0.7095,0.4927,,,0.6355,0.6452,0.5904
BTN2A1,0.1308,0.0518,0.2035,0.4792,0.4545,0.4994,0.5887,0.2928,0.197,,0.1617,0.259,0.2865,0.2808
RCAN3,0.4289,-0.0048,,0.2584,,,0.404,0.5242,0.1588,,,,,
FAF1,0.704,0.0613,0.4851,0.674,0.5977,0.5994,0.7765,0.7988,0.634,0.4221,0.5031,0.4739,0.6594,0.7842
KIF3A,0.4938,0.2962,0.1832,0.4996,0.4031,0.6224,0.5439,0.6553,0.6139,0.1412,0.4365,0.4053,0.5394,0.4164
POLR3A,0.1488,0.1095,0.0806,0.2574,0.0919,0.1057,0.4068,0.287,0.2437,0.2566,0.0421,0.1741,-0.1067,0.2815
CLASRP,0.1208,0.015,0.0117,0.2475,-0.0139,0.1193,0.1804,0.186,0.3579,,0.1236,0.2334,0.1421,-0.018
ZWINT,0.6206,,,0.4939,0.3087,,0.5343,0.7558,0.7184,,,,,0.1207
KPTN,0.0797,-0.0465,,0.1878,0.346,0.151,0.4403,0.2151,0.1149,,-0.0377,,0.136,-0.0371
CDC42EP1,0.5646,0.0684,0.125,0.4477,0.5583,0.5005,0.4117,0.7169,0.5273,-0.2383,-0.0619,0.5498,0.6672,0.593
PWP1,0.4947,0.2587,0.1809,0.6391,0.3706,0.517,0.6314,0.5363,0.4287,0.4364,0.1786,0.4826,0.5201,0.5566
TBC1D8,0.49,0.0066,,0.1906,0.2979,0.4227,0.6562,0.6501,0.7077,,0.1346,,0.7888,0.0028
CDC37,0.4386,0.311,0.2685,0.6842,0.7018,0.438,0.6518,0.6303,0.3448,-0.2105,0.5093,0.4784,0.5186,0.6908
PKIG,0.4986,0.44,,0.6664,,0.7063,0.7757,0.6928,0.6086,,0.3027,,0.6031,
KAT7,0.414,0.0675,0.2005,0.5635,0.0477,0.3355,0.6019,0.3219,0.4851,-0.0507,0.2085,0.2265,0.6779,0.3508
PLA2G16,0.6765,0.1493,,,,0.7935,0.7541,0.7703,0.8015,,0.6402,0.7248,0.8189,0.7839
GLMN,0.6534,0.3158,0.1804,0.6218,0.4869,0.3906,0.6294,0.7091,0.5654,-0.0434,0.4195,0.2417,0.4109,0.607
CORO1A,0.6156,0.0574,0.457,0.7574,0.6911,0.8209,0.8351,0.7267,0.7967,0.4775,0.6336,0.7449,0.82,0.7753
WDR45,-0.0517,0.1034,0.2828,0.556,0.2388,0.2168,0.2343,0.3236,0.4787,0.0421,0.2726,0.1465,0.4273,0.287
AP4S1,0.2609,0.0679,,0.2431,0.3545,0.5698,0.3769,0.3214,0.1776,,0.3204,0.2965,0.3864,0.298
LDB3,0.1329,0.3575,0.3037,0.727,-0.0246,0.741,0.4072,0.5214,0.4975,0.427,0.5778,,0.6032,0.2517
PTP4A3,0.5387,0.0996,,0.2829,0.68,0.8221,0.6617,0.6263,0.5794,0.2998,,0.4826,0.4597,0.541
LSM6,0.2223,0.2507,-0.0255,0.4299,0.3257,-0.1489,0.2879,0.319,0.2805,-0.1223,-0.041,0.338,0.4707,0.1926
RABL2B,0.5298,,,0.3982,0.6581,,0.4737,0.5825,0.5722,,0.1122,,0.3998,0.4117
RABL2A,0.3675,0.0105,,,0.3914,0.1705,,,,,,0.6228,,
ERLIN2,0.6173,0.296,0.5623,0.8897,0.6679,0.7777,0.9088,0.8028,0.672,0.0454,0.5494,0.6103,0.6371,0.7282
NUDT6,0.5805,0.1815,0.1494,,0.4614,0.2074,0.3023,0.3931,0.4949,,0.1055,,0.265,0.733
NUDT4,0.8004,0.2717,0.6525,0.628,0.6354,0.483,0.6792,0.6934,0.7131,0.5507,0.611,0.5727,0.7108,0.7451
NUDT5,0.5953,0.4259,0.1439,0.7422,0.6194,0.5489,0.8761,0.6619,0.5585,0.191,0.2928,0.2235,0.7394,0.5845
NUDT3,0.3987,0.1058,0.1468,0.6419,0.5363,0.42,0.5871,0.2299,0.4393,,0.2245,0.6967,0.6534,0.4479
SOX21,-0.0089,,0.0148,0.5696,,,0.7735,,,,,,0.4735,
FSTL1,0.6194,0.3675,0.3978,0.7973,0.7252,0.7656,0.7937,0.6364,0.5792,-0.0052,0.5207,0.7523,0.7337,0.7235
PSIP1,0.628,0.3839,0.4998,0.7804,0.7635,0.7128,0.7705,0.7334,0.7036,0.3299,0.5121,0.6938,0.7922,0.7139
WDHD1,0.6859,0.507,0.2967,0.8398,0.6878,0.3554,0.8512,0.9484,0.8822,,0.6401,0.6768,0.8774,0.681
STRAP,0.6047,0.4304,0.4091,0.6434,0.5434,0.569,0.6949,0.7629,0.3362,0.0549,0.419,0.4467,0.5707,0.3006
ADAMTS7,0.3028,,,0.5283,,0.2791,0.5898,0.4805,0.5111,,0.4035,,0.3383,
BAZ2A,0.1721,-0.1619,0.1146,0.2112,0.1871,0.037,0.3425,0.5592,0.4782,,0.219,,0.1923,0.2827
BAZ1A,0.5398,0.3061,0.2535,0.7801,0.518,0.3677,0.7285,0.8425,0.5164,0.1907,0.4709,,0.6025,0.6713
LZTS1,0.3709,0.0879,0.1598,0.5924,,0.7819,0.6852,0.6611,,,0.5964,0.6757,0.8612,0.3701
ZNF277,0.2139,,,0.0482,,0.029,0.1596,-0.0305,0.1487,,,,0.1552,-0.0449
WDR6,0.2196,0.1426,0.2083,0.1825,0.2789,0.2358,0.4276,0.1537,0.1886,0.1979,0.1772,0.1036,0.5092,-0.0247
MAP4K5,0.4995,0.3597,0.3482,0.8015,0.4086,0.6067,0.6673,0.7138,0.5095,-0.2532,0.5993,0.4584,0.717,0.3934
MAP4K1,0.6286,0.1782,0.5487,0.8406,0.4632,0.7198,0.8058,0.8262,0.6147,,0.7084,,,0.35
INMT,0.358,0.4078,,0.3352,0.2343,0.4578,-0.0732,0.059,0.2755,0.2878,0.1169,0.4957,0.1676,0.1218
RASSF1,0.3147,,,0.3011,,,0.5713,0.5116,0.1988,,0.0555,,0.6947,0.3562
PKP3,0.529,0.284,0.3244,0.8973,0.7432,0.4128,0.8317,0.7129,0.8053,0.4167,0.6326,,,0.3613
NISCH,0.4194,0.4185,0.1451,0.5198,0.3389,0.3215,0.497,0.4444,0.3362,0.2653,0.4689,0.3416,0.0673,0.3748
