gene,cluster
PIK3C2A,3
UBE2H,3
SMARCA1,3
LIMD1,3
IRF2BPL,3
NDE1,3
MRTFB,3
CPE,3
TANC1,3
MPP5,3
ACTN4,3
DBI,3
TAB2,3
EIF4ENIF1,3
PIK3CA,3
MAP3K4,3
DNMBP,3
STAG1,3
YLPM1,3
TSC1,3
PXK,3
ATG2B,3
FHOD1,3
SOWAHC,3
ARID1B,3
UPF2,3
NGLY1,3
SPAST,3
BICD2,3
ATG7,3
EHBP1L1,3
DNAJB2,3
TRADD,3
TRIM24,3
UBXN7,3
SRPK2,3
ARID2,3
ARSA,3
OSBPL11,3
VASP,3
NPC2,3
ITPR2,3
NECAP2,3
TXLNA,3
GLTP,3
ZC3HAV1,3
MAP7D1,3
PDLIM2,3
MORC2,3
INPPL1,3
MANBA,3
HSPA2,3
PHKA1,3
NCDN,3
PNPO,3
GLUD1,3
LGALS8,3
TFCP2,3
ARPC1B,3
ADD3,3
SERPINB8,3
PITPNA,3
S100A10,3
NCS1,3
ZFYVE21,3
VPS37B,3
OLFM4,3
CA2,3
THBS4,3
OGN,3
SOD3,3
HSPB6,3
BGN,3
FMOD,3
RHBDD2,3
AMT,3
MFGE8,3
ATP1B1,3
NDRG3,3
RPRD1B,3
HEXA,3
ANO6,3
ENTPD1,3
GALNT1,3
NUP210,3
RAI14,3
HLA-DRB1,3
LCN2,3
GMPR,3
TMOD1,3
THYN1,3
HLA-E,3
MNDA,3
EFEMP1,3
IFI30,3
SLC27A3,3
LPGAT1,3
SH3BGRL3,3
CAMK1,3
KIAA0930,3
DUSP23,3
ABCA8,3
NPC1,3
THBS1,3
ABHD12,3
HM13,3
OTULINL,3
ACSL3,3
RDH11,3
GUCY1B1,3
H2AFY2,3
PXDN,3
ME3,3
PFAS,3
MIPEP,3
TRNT1,3
MRI1,3
ACAD8,3
FKBP5,3
ACOX3,3
MCCC2,3
PDE4D,3
ECHDC1,3
AUH,3
DCXR,3
LSS,3
BPHL,3
MAGED2,3
SLC25A20,3
HDHD3,3
VWA8,3
FECH,3
NRDC,3
CORO1B,3
SLC27A4,3
SLC25A10,3
DHRS7B,3
ELN,3
IMPAD1,3
POLB,3
TSTA3,3
RPRD1A,3
NAA15,3
QDPR,3
NADK2,3
CWF19L1,3
THUMPD1,3
WBP2,3
GDPD1,3
STXBP2,3
UFL1,3
C1R,3
C1S,3
ADSS,3
VASN,3
FASN,3
DNAJA4,3
RAPH1,3
UBE2O,3
PGP,3
PDK3,3
VWF,3
GOLPH3L,3
FAM177A1,3
CDH13,3
PTER,3
RABEP1,3
SH3D19,3
APPL2,3
MTURN,3
TP53I11,3
SEC23IP,3
AHCY,3
NAPA,3
ANXA5,3
RNPEP,3
NLE1,3
TDRKH,3
HSDL1,3
IFI35,3
CYB5R1,3
IPO9,3
AK1,3
ADNP,3
EIF5A,3
RALY,3
ESYT2,3
GUSB,3
PAPOLA,3
B2M,3
SCP2,3
MCCC1,3
RBM26,3
ZADH2,3
IDH2,3
ACP6,3
RPS6KA3,3
PPIB,3
NANS,3
FN3KRP,3
MMAB,3
PEPD,3
ATP2B4,3
NARS2,3
ACOT1,3
COPG2,3
SLC25A22,3
USP8,3
PRRC1,3
GHDC,3
RECQL,3
ARPIN,3
PPIL3,3
ZCCHC8,3
RCN2,3
RNMT,3
GIPC1,3
EGLN1,3
DTYMK,3
CCDC50,3
EFNB1,3
NUP153,3
KCNAB2,3
NAAA,3
ACP2,3
PPP1R13L,3
GNG2,3
EFEMP2,3
ILF3,3
TPM1,3
GPALPP1,3
DHRS3,3
AKAP13,3
SLC7A1,3
SP100,3
GBA,3
TAPBP,3
PTPRF,3
PPCS,3
NEK7,3
CLCN3,3
HS2ST1,3
SRPRA,3
POFUT2,3
PXN,3
DOCK7,3
PLIN2,3
BCL10,3
LCLAT1,3
FGL2,3
ADPGK,3
TMOD3,3
SNCA,3
MOGS,3
CRMP1,3
L1CAM,3
ITGA7,3
HTRA1,3
FARSB,3
JCHAIN,3
FBN1,3
SLC25A1,3
ENO2,3
TMEM87A,3
CASC4,3
SMAD2,3
EIF2A,3
SUPV3L1,3
OARD1,3
ERLEC1,3
UBE4A,3
TIMM50,3
SARS2,3
MEPCE,3
PIK3R1,3
USP39,3
PICALM,3
STXBP5,3
PNPT1,3
GCN1,3
RELCH,3
KRT5,3
ALDH1L2,3
CAPS,3
THSD4,3
CHL1,3
KRT17,3
OXR1,3
RANBP1,3
STIP1,3
PPP5C,3
RRP1B,3
LYAR,3
UBA2,3
SAAL1,3
DDX18,3
DBR1,3
GRIPAP1,3
RFC5,3
TNKS1BP1,3
CASP3,3
CPQ,3
TBC1D24,3
PTGDS,3
COIL,3
PCCA,3
HIBCH,3
HADH,3
ARFIP1,3
IDI1,3
METTL13,3
COG3,3
KRT7,3
KRT8,3
PDXDC1,3
PRELP,3
ADH1B,3
GMDS,3
SFN,3
KRT19,3
PIGR,3
COMP,3
LAMA3,3
LTBP2,3
MFAP4,3
FBLN5,3
ANGPTL2,3
NT5DC3,3
BZW1,3
ARHGAP5,3
ACE,3
ITSN2,3
STK4,3
MYH10,3
TNXB,3
PRKCI,3
NCK1,3
CMTR1,3
APLP2,3
NT5C3A,3
TLDC1,3
SCCPDH,3
THNSL1,3
PLGRKT,3
OTULIN,3
BAG1,3
DHX29,3
SRC,3
ME2,3
CIRBP,3
SETD3,3
TOP2B,3
ICA1,3
RAB34,3
DMXL1,3
PNKD,3
NEO1,3
PDGFRB,3
ABCC4,3
KIAA0319L,3
MYO5C,3
GALK2,3
PLS1,3
TMEM173,3
GOLIM4,3
SLC2A1,3
THEM6,3
TOM1,3
RAB23,3
CD82,3
SGPL1,3
GAPDH,3
ASCC3,3
PLTP,3
CTSA,3
CTSD,3
SOAT1,3
MXRA5,3
COL12A1,3
EIF2AK2,3
NUB1,3
STAT2,3
XPOT,3
HSPA4,3
MATN2,3
ABCF2,3
PTGIS,3
CYP7B1,3
PLXDC2,3
GIMAP1,3
SP110,3
IFIT5,3
CUL4A,3
DENND4C,3
CTPS2,3
COL1A1,3
ERBB2,3
NUP50,3
ARRB2,3
PTPN12,3
TPMT,3
GMFG,3
ACLY,3
PSME3,3
NOP2,3
ABHD11,3
AEBP1,3
KRT18,3
MVD,3
ARFIP2,3
LGALSL,3
DNAJC10,3
COL4A3BP,3
XPNPEP1,3
HYOU1,3
GNPNAT1,3
NAT1,3
OAT,3
EPHB3,3
ANPEP,3
NAT10,3
DECR2,3
ASPN,3
SUGT1,3
TOR1B,3
NUDT9,3
HMGN5,3
PAK2,3
LYPLA2,3
PCYT1A,3
ACAP2,3
TTC1,3
TXNL1,3
CAB39,3
PGAM5,3
TXN,3
HARS,3
UMPS,3
PDCD6IP,3
HK1,3
VPS13C,3
UBR1,3
GPD2,3
DNM1L,3
PAIP1,3
FXR1,3
UBA6,3
NUMA1,3
DNAJC7,3
SH3GLB1,3
ARMCX2,3
WDR43,3
STAU2,3
USP47,3
GAPVD1,3
METTL16,3
RPRD2,3
N4BP1,3
UBAP2,3
DLST,3
HCCS,3
PKN2,3
EIF4G2,3
EPRS,3
STAMBP,3
AGFG1,3
NUMB,3
PPP4R1,3
NT5C2,3
FUBP3,3
GOPC,3
GRHPR,3
HINT2,3
AGL,3
LTA4H,3
ARHGEF1,3
SEMA4B,3
UBE3C,3
L2HGDH,3
SPAG9,3
DNAJC2,3
HOOK3,3
HSPA12B,3
NEDD4,3
UBE2Q1,3
ARMT1,3
CUL2,3
DENND3,3
SYNJ2,3
TBC1D1,3
IMPDH1,3
LRRFIP2,3
CKAP5,3
LARP4B,3
PPP2R5D,3
HERC4,3
CAMSAP3,3
DHX57,3
RASAL2,3
GGA2,3
ARSB,3
ALDH18A1,3
DPP3,3
FAM172A,3
MSRA,3
SEPSECS,3
TATDN1,3
PRKAB1,3
AP1G1,3
OLA1,3
POP1,3
PDCD11,3
UBE2G1,3
GGCT,3
RAB27B,3
FLAD1,3
RASA1,3
GFPT1,3
TBC1D5,3
ADAR,3
ROCK2,3
BPNT1,3
MTMR12,3
PITRM1,3
CMPK1,3
UGGT1,3
MPST,3
SCYL2,3
AVL9,3
KLC4,3
SLC25A13,3
NTPCR,3
TPP2,3
CARS2,3
NQO1,3
ARFGEF1,3
SFXN3,3
TPD52,3
NAPG,3
DUT,3
PAFAH1B1,3
HGH1,3
ELAC2,3
SH3BGRL,3
DDX19A,3
MAP2K4,3
TCEA1,3
HARS2,3
VCPIP1,3
YWHAZ,3
NIPSNAP1,3
HSPD1,3
CUL5,3
NPEPPS,3
RBKS,3
CTBP2,3
CPNE3,3
GOT2,3
SIRT5,3
DNAJA3,3
HIBADH,3
CSTB,3
TALDO1,3
CDK5,3
HSPA9,3
CCDC25,3
NMNAT1,3
DARS2,3
OGFR,3
CBX5,3
GOLPH3,3
ACAT1,3
CNPY3,3
NSDHL,3
ARMCX3,3
PCM1,3
DNAJA2,3
ALDH1B1,3
CPOX,3
ECH1,3
NOLC1,3
NUDC,3
CD47,3
PUS1,3
USP14,3
NSFL1C,3
MACROD1,3
ALDOA,3
SOD2,3
SRI,3
SNX30,3
ACO1,3
CKB,3
GGT7,3
BCL2L1,3
VAT1,3
DCN,3
DOCK1,3
PUDP,3
ERGIC1,3
PRKCA,3
RAB3IP,3
HAAO,3
RETSAT,3
DHRS1,3
CPT2,3
AIFM1,3
HEBP1,3
TTC38,3
APMAP,3
WDR44,3
ERMP1,3
GCLC,3
HSPB1,3
TP53BP1,3
ASPH,3
MVK,3
WRNIP1,3
CARS,3
NASP,3
NARS,3
PSPH,3
PPME1,3
G6PD,3
FDXR,3
NUDCD3,3
DUSP3,3
RHEB,3
TARS2,3
DNAJA1,3
SBDS,3
STK3,3
LACTB,3
PSMD5,3
DYNC1LI1,3
SYAP1,3
STAT5B,3
ANKMY2,3
MGP,3
STAU1,3
RIPK2,3
UBR7,3
ACSL4,3
SH3BP4,3
UBFD1,3
ISOC1,3
AACS,3
NUDT12,3
NEK9,3
GSTP1,3
LANCL2,3
PDK1,3
FAM114A2,3
DHTKD1,3
ERP44,3
TINAGL1,3
PGRMC1,3
LPCAT3,3
TWF2,3
TKT,3
PROCR,3
MPP1,3
PGM1,3
RRAS,3
POGLUT1,3
ITGA1,3
ALG2,3
DPY19L1,3
STBD1,3
GSTO1,3
INPP5A,3
PPP4R3A,3
LRRC1,3
SHC1,3
LRRFIP1,3
DES,3
FBXO6,3
USP7,3
RASSF2,3
ATP6V1B2,3
CHMP7,3
STAT3,3
TPD52L2,3
LPIN2,3
FAM3C,3
PRKDC,3
CHMP4B,3
CUL4B,3
SCRIB,3
GNL1,3
GPI,3
IPO5,3
PA2G4,3
VPS4B,3
MAPRE1,3
DNAJC3,3
SMCHD1,3
FMR1,3
ABCF1,3
RUFY1,3
PDLIM4,3
EHD4,3
CLIC1,3
TMEM43,3
RAB32,3
ESYT1,3
CC2D1A,3
XRN2,3
ANKFY1,3
POFUT1,3
ATXN10,3
FCGRT,3
FARP1,3
PRMT1,3
MEST,3
TRIM28,3
SLC27A1,3
RARRES2,3
PBXIP1,3
CNN3,3
S100A9,3
RRM1,3
SDC2,3
WFS1,3
GNG7,3
SQSTM1,3
FN3K,3
TRIM47,3
IMPDH2,3
VCP,3
HVCN1,3
CLTB,3
TSPAN6,3
GPC1,3
HMOX2,3
CDC37,3
WDR1,3
PSPC1,3
CST3,3
STK24,3
CYP51A1,3
OAS1,3
CD99L2,3
UCHL3,3
C2CD5,3
DIS3,3
SH3GLB2,3
ADSL,3
TTC19,3
TNS1,3
MCMBP,3
MYL9,3
PARVA,3
PRMT5,3
EIF6,3
MAP2K1,3
SEC24A,3
FBXO4,3
CASK,3
BCL2L13,3
IMPACT,3
AHCYL2,3
ALOX5AP,3
RRBP1,3
SNX18,3
AAGAB,3
NUDT15,3
TTC27,3
NUDT5,3
AASDHPPT,3
IKBKB,3
EML2,3
ABCC1,3
ABCB6,3
CRKL,3
SNX33,3
GTF3C4,3
REPS1,3
ARL6IP5,3
SLC12A7,3
PPP2R2A,3
USP5,3
FAF2,3
PDCD6,3
LRRC47,3
ABCE1,3
ZPR1,3
ARHGAP1,3
NME1,3
CLUH,3
PBDC1,3
CAPRIN1,3
STX7,3
SYNCRIP,3
THUMPD3,3
NMT1,3
SEC23A,3
STRAP,3
DDAH2,3
DNASE2,3
HS1BP3,3
PTMS,3
HSD17B4,3
UAP1L1,3
EEFSEC,3
DTD1,3
PARN,3
SNX8,3
LBR,3
SRM,3
PRXL2B,3
CARHSP1,3
VPS26B,3
LHPP,3
PMM2,3
PDXK,3
PLSCR1,3
CD9,3
PRNP,3
MRTO4,3
LXN,3
PPM1G,3
STX3,3
SIRT2,3
HPRT1,3
CARM1,3
GLS,3
EIF2D,3
BCCIP,3
CRIP1,3
TRAP1,3
PPP3CA,3
HMCES,3
RUVBL1,3
NPM3,3
SERPINA4,4
C4BPB,4
SERPINA10,4
F9,4
ITIH2,4
LMNB2,4
F12,4
FETUB,4
ENO3,4
C8G,4
KLKB1,4
CPB2,4
APOF,4
APOA4,4
SAP18,4
AFM,4
AMBP,4
FGA,4
PLG,4
MRPL43,4
MED8,4
GC,4
HPX,4
HIST1H1E,4
PGLYRP2,4
CDK9,4
FGB,4
C5,4
F2,4
HABP2,4
VTN,4
AHSG,4
APOC1,4
APOM,4
HPR,4
A1BG,4
LPA,4
CPN1,4
SERPINA7,4
APOB,4
APOC3,4
HRG,4
KNG1,4
APOH,4
TTR,4
ITIH4,4
PON1,4
SERPINC1,4
SERPIND1,4
GPS1,4
PSMB6,4
TOMM20,4
YIPF4,4
SUPT4H1,4
PIH1D1,4
YME1L1,4
PSMA2,4
MRPL54,4
POLR2E,4
PIGK,4
CSNK2B,4
LAGE3,4
BRK1,4
SPTB,4
TUBGCP2,4
PSMB1,4
MRPL23,4
COPS8,4
EXOSC4,4
PPP6C,4
TRAPPC12,4
BCAS2,4
THOC7,4
MRPL14,4
BLOC1S3,4
COPS6,4
CIAO1,4
VPS16,4
CSNK1D,4
NDUFA2,4
IDH3G,4
CCDC93,4
APOA1,4
RPL36,4
KIDINS220,4
CDC42,4
PSMC5,4
DCTN4,4
ATP5O,4
VPS28,4
COQ5,4
DRAP1,4
SCAF1,4
POLR2A,4
LAMTOR3,4
ANAPC2,4
PAF1,4
NDUFA8,4
RPS11,4
COPS5,4
NDUFB9,4
NDUFS3,4
NDUFB3,4
NDUFS6,4
NDUFV2,4
NDUFA7,4
NDUFB4,4
NDUFS5,4
NDUFS4,4
NDUFA12,4
TPRKB,4
NOP10,4
POLR2L,4
RPS27A,4
UBL7,4
BRCC3,4
ALB,4
NDUFA5,4
LSM3,4
HIST1H1C,4
RPS29,4
RPS14,4
TRAPPC5,4
EMC2,4
EMC4,4
ACTR10,4
NDUFAF3,4
RPS23,4
COMMD7,4
MLST8,4
PFDN5,4
CCDC115,4
RPL15,4
PDZD11,4
ARPC1A,4
RNF7,4
COMMD4,4
CDK5RAP3,4
CCDC22,4
COX7A2L,4
INTS1,4
COX6C,4
BPI,4
USMG5,4
UQCR10,4
TRAPPC13,4
AP2S1,4
PZP,4
COX7C,4
NDUFA6,4
ATP5H,4
ATP5F1,4
ATP5I,4
HSPA6,4
MRPL17,4
GNG5,4
NDUFA11,4
NDUFB7,4
DPH1,4
NDUFB5,4
SDHC,4
ORM2,4
CYTH2,4
ATP5L,4
DCTN5,4
COX7A2,4
VPS52,4
SPTA1,4
RPL29,4
TRAPPC1,4
NDUFB8,4
NDUFA13,4
DAD1,4
FIBP,4
OGT,4
NDUFA9,4
DYNC1I1,5
ROGDI,5
PRPH,5
WASF2,5
MED4,5
ERH,5
RPA3,5
SNRPB2,5
TP53RK,5
CNOT10,5
NUP54,5
SNRPE,5
DCTN1,5
CAMP,5
TUBB4A,5
C4BPA,5
TSC2,5
ITIH3,5
IGFALS,5
OGFOD2,5
CTNNB1,5
NDUFS1,5
NDUFS2,5
CPN2,5
SNRNP70,5
RAC1,5
DGUOK,5
LSM7,5
EIF3E,5
IK,5
RPS15A,5
MTX2,5
EIF3L,5
CLP1,5
EEF1G,5
EIF3F,5
PSMA7,5
LSM8,5
PSMB4,5
INTS5,5
POLR2G,5
LSM4,5
CA1,5
POLR2C,5
UXT,5
NDUFV1,5
PHF5A,5
PCCB,5
WDR24,5
SNX4,5
ERGIC3,5
VPS26C,5
EMC3,5
EIF2B4,5
STK11IP,5
GPAA1,5
SRSF5,5
LENG8,5
RPL10,5
NDUFB6,5
VPS33A,5
ANK1,5
AP3M1,5
ANAPC5,5
EMC7,5
RPL35A,5
NXF1,5
SNX5,5
TMCO1,5
MRPS6,5
PRPF39,5
EXOSC5,5
PPP3R1,5
NFYC,5
POLR3D,5
MED14,5
C6,5
SNAPIN,5
BLOC1S4,5
MFAP1,5
RPL7,5
PRTN3,5
RPS15,5
RPS24,5
ELANE,5
BLOC1S1,5
RPL14,5
RPS20,5
RPS21,5
RPL30,5
RPL23,5
COMMD5,5
SNF8,5
MRPS11,5
RPL23A,5
ATP5C1,5
RPL34,5
RPL13A,5
VPS25,5
NDUFS8,5
RPL28,5
C9,5
SERPINA6,5
TPM3,5
MCM3AP,5
APOA2,5
ORM1,5
VPS29,5
LIN7C,5
RPL19,5
RPL13,5
RPL27A,5
SNX14,5
RPL18,5
MBD3,5
ATP6V1G1,5
RPL35,5
RPL24,5
EXOC8,5
RPL26,5
RPS6,5
RPL27,5
SRRM2,5
FGG,5
HMG20A,5
RINT1,5
HERC1,5
RPL31,5
UQCRB,5
AQR,5
CCNK,5
CHP1,5
MRPS30,5
COMMD8,5
COMMD9,5
AP2B1,5
RPL32,5
HECTD3,5
NDUFS7,5
PPP1CB,5
ACTBL2,5
SNU13,5
CHTOP,5
RABL3,5
PPP1CC,5
VPS41,5
RNF123,5
TRAPPC9,5
SYMPK,5
NDUFAF5,5
RING1,5
GNPDA2,5
UBL5,5
TMEM199,5
PPIE,5
TAB1,5
RPL4,5
DCTN2,5
RPL17,5
HSPA1L,5
BLOC1S2,5
RPS9,5
MMGT1,5
ATP5D,5
RPL3,5
SMC1A,5
EEF2,5
DRG2,5
SF3B2,5
TAF6,5
RBM25,5
RPS4X,5
SF3B1,5
RPL11,5
RPS3A,5
RPS13,5
RPL6,5
RPL8,5
RPS16,5
DPM1,5
ARPC3,5
DDX17,5
RPS3,5
SPG11,5
RPS19,5
TSPYL1,5
CXXC1,5
PPP2R2D,5
BLOC1S6,5
NDUFA10,5
RPS5,5
NOL7,5
PRKACA,5
RBM42,5
ALG13,5
HP1BP3,5
RAP2C,5
USF2,5
CRTC2,5
RABGGTB,5
RAB3GAP1,5
RBP4,5
COPS3,5
COG2,5
RAB8A,5
UQCRQ,5
NDUFB10,5
ATRN,5
SUCLG1,5
ATP5A1,5
PDHB,5
MRPS36,5
UQCRC1,5
TFIP11,5
ATP5B,5
NFYB,5
SAP30BP,5
RBM17,5
NFKBIB,5
COQ7,5
DDX5,5
SDHB,5
EIF1,5
CTNNA1,5
ANAPC4,5
PRKAR1A,5
DDRGK1,5
MAU2,5
UGGT2,5
SF1,5
BRD9,5
GABPA,5
GPN1,5
ERCC2,5
EIF3H,5
GNB1,5
SRP19,5
THOC5,5
EXOC5,5
STX10,5
DDX41,5
EXOC4,5
CHD2,5
COA5,5
ABCB8,5
BORCS7,5
MTX1,5
IMMT,5
PRKAG1,5
SMG9,5
SF3A1,5
POLR3B,5
TMEM9B,5
UQCC2,5
ANKIB1,5
CALM1,5
NF2,5
PSEN1,5
TRIP4,5
CAPZA2,5
ZSWIM8,5
GNAI3,5
NRAS,5
GNB2,5
ZC3H13,5
TRAPPC2L,5
TMEM30A,5
MPHOSPH8,5
PSMC3,5
SART1,5
CLEC3B,5
SNX17,5
CDK4,5
LEO1,5
PNN,5
TMEM209,5
PIK3R4,5
TGOLN2,5
DCTN6,5
RBMXL1,5
FIG4,5
SEH1L,5
HMGN4,5
AP5Z1,5
RNF20,5
PPP2R1B,5
PSMD6,5
MRPS9,5
PTCD3,5
MRPL10,5
EIF2B2,5
CPSF2,5
VPS51,5
EXOSC7,5
MRPL38,5
RALBP1,5
GID8,5
MLLT1,5
TRMT112,5
PPP2R1A,5
RTCB,5
GTF2F1,5
CFP,5
COQ6,5
GTPBP10,5
EXOC3,5
MRPS18B,5
KRAS,5
MRPL24,5
UBXN4,5
MRPS7,5
EIF4A2,5
TMEM11,5
COG4,5
MORF4L1,5
ATP6V1D,5
MRPL2,5
RWDD1,5
KIFAP3,5
COMMD1,5
PIGG,5
WDR13,5
MRPS2,5
WDR77,5
CFB,5
PPP1CA,5
TRAPPC4,5
MRPL13,5
MED30,5
ARL6IP4,5
POLR3A,5
EXOC7,5
COG1,5
DERA,5
COMMD2,5
MRPL48,5
GATB,5
CMC1,5
MRPL49,5
ZMIZ1,5
APOOL,5
MRPS28,5
COA6,5
CCDC90B,5
TUBB,5
TUBA1C,5
DOHH,5
TMEM126A,5
TUBB4B,5
TIMM13,5
MPC2,5
CWC15,5
PPIG,5
LYRM4,5
PIK3R2,5
RANBP2,5
PPP4C,5
COMMD10,5
PSMG2,5
DPF2,5
CPSF4,5
PHB,5
GORASP1,5
KRT10,5
TTN,5
BPGM,5
KRT1,5
KRT9,5
PPP2CA,5
HECTD1,5
ACTA1,5
AP1S1,5
RABGEF1,5
COPA,5
MPV17,5
CCDC12,5
COPS2,5
EMC1,5
ATP6AP2,5
SCFD2,5
MAN2C1,5
VPS8,5
BIN3,5
SAMM50,5
COX6B1,5
LARP7,5
PMPCB,5
RPP30,5
MRPS10,5
AP2M1,5
RAB11B,5
MRPL22,5
MRPL18,5
COG8,5
SERPINF2,5
MRPL44,5
RCL1,5
MED24,5
MRPL9,5
SF3B6,5
SNRPC,5
MRPL53,5
GGA3,5
SYF2,5
WDR61,5
MRPL21,5
PSMD12,5
YIPF3,5
MRPS17,5
MRPL39,5
SPG7,5
MRPS25,5
PLRG1,5
PSMD7,5
TMEM167A,5
PSMD1,5
PFDN6,5
COPS4,5
INTS2,5
MRPL19,5
WDR59,5
MRPL37,5
EIF3K,5
GADD45GIP1,5
PSMC4,5
PSMD14,5
COPS7A,5
SH2B1,5
MRPL47,5
MRPL3,5
MRPS35,5
SLIRP,5
PSMD8,5
EMC10,5
DDB1,5
EIF2B5,5
KRT2,5
TELO2,5
A2M,5
BRD7,5
GAR1,5
TF,5
INTS8,5
TXNDC15,5
AGT,5
ANG,5
UBE2G2,5
PTRH1,5
MRPL46,5
EPN1,5
MRPS31,5
SMARCA5,5
EXOSC6,5
SNRPD3,5
NFYA,5
RNF40,5
H2AFY,5
NUP43,5
NACA,5
NHP2,5
MRPS23,5
SPNS1,5
CD5L,5
ITIH1,5
LAMTOR2,5
AZU1,5
RPL9,5
RAB2B,5
MPO,5
MED15,5
CTSG,5
UTP3,5
SKIV2L,5
MRPL40,5
MRPL41,5
MRPS34,5
NAA35,5
TRAPPC11,5
SSR3,5
COX5B,5
NDUFB11,5
NDUFA4,5
USE1,5
MYL6B,5
DRG1,5
TBCK,5
IDH3B,5
RPL22,5
HGS,5
DYNLRB1,5
HNRNPK,6
XRCC5,6
LDB1,6
NRF1,6
SRSF7,6
SGCB,6
SYVN1,6
TJAP1,6
NUTF2,6
CRTC1,6
GNA11,6
CLEC16A,6
GFER,6
GTF2B,6
LONP2,6
ZNF830,6
MPG,6
NRBP1,6
ATP2A2,6
AP2A1,6
SAMD4B,6
PTP4A2,6
ELP2,6
RAD23A,6
PHKG2,6
DIABLO,6
MPHOSPH10,6
WDR35,6
TXNL4A,6
TARDBP,6
NAE1,6
RPTOR,6
NDUFAB1,6
NDUFAF6,6
NCOR2,6
NARFL,6
CD2BP2,6
NUBP2,6
EMC8,6
TBC1D10B,6
ETFA,6
NIPSNAP3A,6
PHACTR4,6
ARIH1,6
SMIM20,6
UBE2F,6
GOLGA7,6
BRD4,6
WIZ,6
SLC30A9,6
CCDC9,6
PRDX2,6
ISOC2,6
MAT2A,6
EIF3D,6
CIZ1,6
BORCS5,6
SLC25A4,6
CNOT3,6
SRP14,6
PPP1R8,6
CARD19,6
UQCRH,6
UQCRC2,6
UBR4,6
MTCH1,6
SUMO1,6
MFN2,6
NFATC2IP,6
EIF3G,6
BUD31,6
FLOT1,6
SKIV2L2,6
CFH,6
UBE2V2,6
ATP6AP1,6
MECP2,6
DPT,6
LSM12,6
HNRNPH3,6
MYADM,6
DPP7,6
TRMT11,6
NAP1L1,6
EIF1AX,6
MROH1,6
FNTA,6
CPTP,6
PTPN23,6
MAK16,6
RAD21,6
RBM22,6
PACS1,6
UBA3,6
GLT8D1,6
DYNLT1,6
AP3D1,6
ATXN2L,6
ARMC1,6
SPPL2A,6
SLC38A10,6
CLTC,6
MTA2,6
PEX11B,6
ATP6V0C,6
PQBP1,6
MEMO1,6
ZNF512,6
EEF1D,6
APOL1,6
FBXO7,6
NPTN,6
TAMM41,6
EXOG,6
MTFR1L,6
PGGT1B,6
SSU72,6
TRRAP,6
BANF1,6
DYNC1I2,6
TRMT61A,6
PPP2CB,6
GNA13,6
TRPT1,6
ENGASE,6
ARFRP1,6
NDUFAF7,6
ARF6,6
DLD,6
PGLS,6
ATG4B,6
HTRA2,6
MBD1,6
RPE,6
PHKB,6
NACC1,6
UBE2N,6
PARK7,6
RAB14,6
CLNS1A,6
TBCD,6
API5,6
DNAJC19,6
TNPO2,6
CAPNS1,6
RPP40,6
PTPMT1,6
CYHR1,6
MRPL1,6
NOSIP,6
SDR39U1,6
FKBP8,6
MAP1S,6
DAGLB,6
PSMC2,6
SKP1,6
CSTF2T,6
ENY2,6
UBE2A,6
DNTTIP2,6
ITFG1,6
TMED10,6
MRPS26,6
AIMP1,6
HSPA8,6
SPATA5L1,6
RNF31,6
YWHAB,6
MCTS1,6
NUPL2,6
HSPB11,6
PHKA2,6
MON1B,6
CLPX,6
PFDN1,6
VPS35,6
STRIP1,6
DAPK3,6
AKT1S1,6
NELFB,6
PPP1R12C,6
ATXN2,6
RAB1A,6
RAB35,6
PEX6,6
DYM,6
BIRC6,6
EXOC1,6
ZNF330,6
RNF126,6
RALGAPB,6
STX4,6
VBP1,6
OXA1L,6
CTNNBL1,6
BSG,6
ADRM1,6
SURF6,6
EIF4B,6
NBAS,6
HEATR5B,6
DDX51,6
EBNA1BP2,6
TOMM22,6
AGRN,6
MRPL4,6
UBAC1,6
MFN1,6
STX18,6
SMNDC1,6
RHOT2,6
PIK3C3,6
DAP3,6
SNW1,6
MRPL15,6
CHMP6,6
KCMF1,6
ELMO2,6
PFDN4,6
NOL6,6
GNB4,6
FAM160B2,6
WTAP,6
MATR3,6
TRA2B,6
SRSF10,6
HNRNPL,6
SRSF1,6
SNRPF,6
POLR2B,6
BUB3,6
THOC6,6
SRSF2,6
SF3A3,6
RAP1A,6
PIP5K1C,6
SRSF3,6
SMARCB1,6
WDR18,6
BAD,6
SEC62,6
TMEM201,6
SMARCD2,6
WDR11,6
TBC1D17,6
PI4KA,6
VPS53,6
LSM2,6
MED18,6
SAP130,6
MEN1,6
SF3A2,6
ZNF207,6
POLR2D,6
GTF3C3,6
ILF2,6
PSMG3,6
PTBP1,6
PRPF4,6
UTP15,6
SRP72,6
NELFCD,6
LSM6,6
ZNF428,6
PSMA5,6
SNRPD2,6
SNRPD1,6
NCBP2,6
PSMA4,6
CCT7,6
ORC3,6
SMU1,6
CCT6A,6
CCT3,6
CCT5,6
HIST1H1B,6
POLR3F,6
ADD1,6
SNRPA1,6
DAZAP1,6
PPP4R2,6
POP7,6
EIF3M,6
MRPL11,6
NAA10,6
NUDT21,6
RHOA,6
MRPS22,6
MRPS5,6
GLE1,6
RMND5A,6
PSMB2,6
CNOT11,6
ACTN2,6
PSMA1,6
PSMD13,6
AAAS,6
SARNP,6
TBL3,6
NOC4L,6
