"","X","pv","mm","wm","gene","ty"
"117","ucec_DNAH6",2.33743197937022e-49,0.416666666666667,0.485362844122192,"DNAH6","ucec"
"118","ucec_DNAH5",0.632385291715742,0.484213507017528,0.47426251393546,"DNAH5","ucec"
"119","ucec_DNAH3",1.29299801774327e-24,0.447552447552448,0.478696275055751,"DNAH3","ucec"
"120","ucec_DNAH17",9.01572209058256e-83,0.412868797570312,0.48878547334438,"DNAH17","ucec"
"121","ucec_DNAH14",3.87729592222997e-70,0.406060606060606,0.485740544643105,"DNAH14","ucec"
"122","ucec_DNAH11",0.00134132719292419,0.476190476190476,0.476639583740235,"DNAH11","ucec"
"123","ucec_DNAH10",1.72686721813777e-87,0.400882029736934,0.49270568882247,"DNAH10","ucec"
"124","ucec_DMD",0.000936941192711498,0.473805329481333,0.478526850634515,"DMD","ucec"
"125","ucec_DLGAP2",0.323010884677848,0.48747279090868,0.477910508838493,"DLGAP2","ucec"
"126","ucec_DCHS2",7.17499295210141e-29,0.433566433566434,0.483520696823277,"DCHS2","ucec"
"127","ucec_DCHS1",0.329533013262868,0.483333333333333,0.477221447756544,"DCHS1","ucec"
"128","ucec_CUBN",1.8980156951527e-27,0.442424242424242,0.483760320006031,"CUBN","ucec"
"129","ucec_CTNNB1",0.402155631146421,0.485587583148559,0.476925166775882,"CTNNB1","ucec"
"130","ucec_CTNNA2",0.000537516459072012,0.478787878787879,0.479718992120929,"CTNNA2","ucec"
"131","ucec_CSMD3",2.84329105001816e-75,0.415384615384615,0.489634278727584,"CSMD3","ucec"
"132","ucec_CSMD2",3.46192301620466e-10,0.514979292622701,0.471198783478467,"CSMD2","ucec"
"133","ucec_CSMD1",5.0122469630058e-18,0.454545454545455,0.478533968063343,"CSMD1","ucec"
"134","ucec_COL6A6",3.92620508317452e-17,0.451886800728091,0.482996315358288,"COL6A6","ucec"
"135","ucec_COL6A3",6.07785198525247e-60,0.41958041958042,0.485343336480899,"COL6A3","ucec"
"136","ucec_COL5A1",3.97548336102046e-39,0.43030303030303,0.483549285387189,"COL5A1","ucec"
"137","ucec_COL12A1",2.52734199866077e-21,0.445454545454546,0.4808171344388,"COL12A1","ucec"
"138","ucec_COL11A1",7.03040788075191e-64,0.407296714265643,0.484094434856833,"COL11A1","ucec"
"139","ucec_CNTN6",0.000407843007074114,0.476991622990762,0.476504173608317,"CNTN6","ucec"
"140","ucec_CELSR1",2.31464571090422e-06,0.509090909090909,0.472518529981379,"CELSR1","ucec"
"141","ucec_CDH23",0.00311371068597547,0.483333333333333,0.47740743805544,"CDH23","ucec"
"142","ucec_CCDC168",4.51148640276906e-26,0.444117647058824,0.482795878784696,"CCDC168","ucec"
"143","ucec_CACNA1C",0.607295744411904,0.490909090909091,0.474121479114765,"CACNA1C","ucec"
"144","ucec_CACNA1B",2.85331812341654e-21,0.447552447552448,0.484338597438946,"CACNA1B","ucec"
"145","ucec_CACNA1A",1.04488305436603e-18,0.447552447552448,0.479357912537878,"CACNA1A","ucec"
"146","ucec_ASXL3",3.09560967283677e-05,0.472727272727273,0.480503833022643,"ASXL3","ucec"
"147","ucec_ASTN1",0.00893960208705918,0.5,0.470291254894995,"ASTN1","ucec"
"148","ucec_ARID1B",2.91862245524105e-159,0.369021458538346,0.492221237638101,"ARID1B","ucec"
"149","ucec_ARID1A",9.27733105084648e-39,0.442477908859042,0.502551197649429,"ARID1A","ucec"
"150","ucec_APOB",1.52450196973883e-30,0.437358765675077,0.484185214379871,"APOB","ucec"
"151","ucec_ANKRD30A",4.44544068963196e-37,0.433333333333333,0.479504468459648,"ANKRD30A","ucec"
"152","ucec_ANK3",7.62811801221064e-19,0.452380952380952,0.478181185713512,"ANK3","ucec"
"153","ucec_ANK2",0.0166951356286314,0.5,0.473066950660849,"ANK2","ucec"
"154","ucec_ANK1",1.00123783160622e-27,0.445454545454546,0.482135175363643,"ANK1","ucec"
"155","ucec_AHNAK2",2.08042046638046e-59,0.418157204389354,0.488069067515107,"AHNAK2","ucec"
"156","ucec_AHNAK",9.23147960047333e-07,0.464285714285714,0.480059791345744,"AHNAK","ucec"
"157","ucec_ADGRV1",0.797884213267971,0.492028611384462,0.476248698613557,"ADGRV1","ucec"
"158","ucec_ADGRG4",4.39002831359883e-59,0.427272727272727,0.487664240861042,"ADGRG4","ucec"
"159","ucec_ADGB",0.110232733191181,0.5,0.476069158268469,"ADGB","ucec"
"160","ucec_ABCA13",5.74598821838425e-21,0.454545454545455,0.483436150445221,"ABCA13","ucec"
"161","ucec_ABCA12",2.74912862164639e-27,0.44483430739485,0.484039405777818,"ABCA12","ucec"
"162","pedbrain_MUC4",1.71296855553992e-25,0.466842940243258,0.417919987374734,"MUC4","pedbrain"
"163","pedbrain_MUC17",1.41224174022575e-10,0.46049953746531,0.425585492086468,"MUC17","pedbrain"
"164","pedbrain_FLG2",1.9751534050015e-21,0.468136514648143,0.42383009763214,"FLG2","pedbrain"
"165","pedbrain_TCHH",1.89933626280796e-19,0.474264705882353,0.424585098000591,"TCHH","pedbrain"
"166","pedbrain_AHNAK",1.25651966183819e-15,0.468145161290323,0.428174696898126,"AHNAK","pedbrain"
"167","pedbrain_MDC1",3.47588878420053e-49,0.50098814229249,0.42373145430421,"MDC1","pedbrain"
"168","pedbrain_AHNAK2",0.452481239236734,0.429841897233202,0.434188747269243,"AHNAK2","pedbrain"
"169","pedbrain_MUC16",0.027578981179544,0.420300751879699,0.433130502125776,"MUC16","pedbrain"
"170","pedbrain_IGFN1",5.30905179494376e-11,0.463157894736842,0.430235550952313,"IGFN1","pedbrain"
"171","pedbrain_ARMCX4",8.15945312320825e-23,0.375,0.434246319300667,"ARMCX4","pedbrain"
"172","pedbrain_RBMXL3",7.65820535880647e-50,0.5,0.420400563607085,"RBMXL3","pedbrain"
"173","pedbrain_TTN",6.31408485078996e-32,0.49010989010989,0.42524779094531,"TTN","pedbrain"
"174","pedbrain_MT.ND5",0.323888390728108,0.434065934065934,0.431118759040351,"MT.ND5","pedbrain"
"175","pedbrain_RP1L1",2.82928535432629e-61,0.516483516483517,0.420729774852013,"RP1L1","pedbrain"
"176","pedbrain_PRDM9",6.48345042740294e-63,0.517482517482518,0.424764471852449,"PRDM9","pedbrain"
"177","pedbrain_SHANK1",9.18642056760482e-07,0.461538461538462,0.431766637113466,"SHANK1","pedbrain"
"178","pedbrain_TP53",0.0155211455791335,0.412587412587413,0.425158815447608,"TP53","pedbrain"
"179","pedbrain_GOLGA6L2",7.61771606440398e-19,0.481818181818182,0.425751342398418,"GOLGA6L2","pedbrain"
"180","pedbrain_KMT2D",0.000399551198248521,0.445454545454545,0.430879170785136,"KMT2D","pedbrain"
"181","pedbrain_ACAN",2.60454341630381e-33,0.5,0.428096866401304,"ACAN","pedbrain"
"182","pedbrain_ZNF208",4.75844814399474e-62,0.515151515151515,0.423691062562717,"ZNF208","pedbrain"
"183","pedbrain_F5",6.55223162041478e-23,0.490909090909091,0.428999613041169,"F5","pedbrain"
"184","pedbrain_NPAS3",5.89642230415593e-25,0.490909090909091,0.430462186251812,"NPAS3","pedbrain"
"185","pedbrain_ZFP36L2",2.06249052321127e-21,0.483333333333333,0.42885743143661,"ZFP36L2","pedbrain"
"186","pedbrain_SVIL",0.00861043645788786,0.416666666666667,0.434594236655776,"SVIL","pedbrain"
"187","pedbrain_KMT2A",7.83323089786361e-15,0.483333333333333,0.430885217516774,"KMT2A","pedbrain"
"188","pedbrain_MEGF8",1.30762829701521e-21,0.483333333333333,0.42975666567038,"MEGF8","pedbrain"
"189","pedbrain_KMT2C",0.0123374001561759,0.416666666666667,0.433148762715533,"KMT2C","pedbrain"
"190","pedbrain_ZAN",3.21618462188493e-14,0.383333333333333,0.434867356509013,"ZAN","pedbrain"
"191","pdac_TTN",1.08345175400472e-52,0.377622377622378,0.288423980870178,"TTN","pdac"
"192","pdac_TP53",1.45712203181782e-06,0.304417116119004,0.290057716635041,"TP53","pdac"
"193","pdac_SYNE1",1.96662259898612e-11,0.357142857142857,0.294345534824099,"SYNE1","pdac"
"194","pdac_RYR2",7.55417301758892e-05,0.342657342657343,0.294846410913752,"RYR2","pdac"
"195","pdac_RNF43",1.2018552314277e-174,0.466666666666667,0.283569102653072,"RNF43","pdac"
"196","pdac_MUC4",0.0272811764148564,0.323076923076923,0.298099737532808,"MUC4","pdac"
"197","pdac_MUC16",0.863217099158491,0.318181818181818,0.29601408765653,"MUC16","pdac"
"198","pdac_KRAS",5.45934066282664e-41,0.294790752121744,0.4,"KRAS","pdac"
"199","pdac_HYDIN",3.33068361159542e-58,0.4,0.291505555069548,"HYDIN","pdac"
"200","pdac_FMN2",0.104394882623743,0.314285714285714,0.299027280858676,"FMN2","pdac"
"201","pdac_DNAH9",1.59318743825502e-31,0.4,0.293300592537234,"DNAH9","pdac"
"202","pdac_CTNNA2",2.33512435084747e-09,0.296703296703297,0.301020286916305,"CTNNA2","pdac"
"203","pdac_CDKN2A",3.71532802332844e-29,0.27304347826087,0.30668686349043,"CDKN2A","pdac"
"204","ov_TTN",0.0684520593009906,0.54656862745098,0.548942665067671,"TTN","ov"
"205","ov_TP53",0.279697536641397,0.550936043763085,0.547619047619048,"TP53","ov"
"206","ovcp_FMN2",2.33346080754275e-13,0.4,0.356102261780541,"FMN2","ovcp"
"207","ovcp_FSIP2",3.13887918005452e-17,0.416666666666667,0.353560051535042,"FSIP2","ovcp"
"208","ovcp_HERC1",0.00309245348240498,0.35,0.363291373565346,"HERC1","ovcp"
"209","ovcp_KMT2D",0.162303060143908,0.36969696969697,0.360248247475722,"KMT2D","ovcp"
"210","ovcp_MDC1",0.563686097531767,0.36969696969697,0.36059563711982,"MDC1","ovcp"
"211","ovcp_DST",5.64555386815428e-10,0.406060606060606,0.357836516817802,"DST","ovcp"
"212","ovcp_RP1L1",6.4900707372078e-23,0.418181818181818,0.355907132291466,"RP1L1","ovcp"
"213","ovcp_TCHH",0.104528233028305,0.381818181818182,0.359740124215935,"TCHH","ovcp"
"214","ovcp_BIRC6",1.33271646320159e-05,0.354545454545455,0.366029510395708,"BIRC6","ovcp"
"215","ovcp_WDFY4",4.23724084693214e-11,0.336363636363636,0.366831560994413,"WDFY4","ovcp"
"216","ovcp_MUC5B",0.00179867445480167,0.384615384615385,0.359581526112326,"MUC5B","ovcp"
"217","ovcp_FCGBP",0.276688849057448,0.373626373626374,0.356964072656396,"FCGBP","ovcp"
"218","ovcp_MUC12",1.58447384652903e-11,0.392997934259043,0.353754940711462,"MUC12","ovcp"
"219","ovcp_MUC17",0.00107787193692961,0.358241758241758,0.365977020269497,"MUC17","ovcp"
"220","ovcp_MT.ND5",8.64538555464752e-22,0.329411764705882,0.366258043379102,"MT.ND5","ovcp"
"221","ovcp_MUC16",1.31515688376e-05,0.385294117647059,0.359773600804948,"MUC16","ovcp"
"222","ovcp_TTN",4.51946888662493e-07,0.377435167615433,0.355048192831408,"TTN","ovcp"
"223","ovcp_MUC4",0.844015495952606,0.364198946742486,0.362874934145599,"MUC4","ovcp"
"224","ovcp_TP53",2.28634985108392e-10,0.365450454016804,0.3,"TP53","ovcp"
"225","lusc_ZNF831",0.000587985842404839,0.538235294117647,0.551401374933897,"ZNF831","lusc"
"226","lusc_ZNF729",0.107591066204014,0.547058823529412,0.553396113003406,"ZNF729","lusc"
"227","lusc_ZNF536",0.0470062959784686,0.554545454545455,0.5493504102672,"ZNF536","lusc"
"228","lusc_ZNF469",0.027748342169428,0.563636363636364,0.549047969703345,"ZNF469","lusc"
"229","lusc_ZNF208",8.06178543487678e-19,0.521978021978022,0.555776021056108,"ZNF208","lusc"
"230","lusc_ZFHX4",0.529638443004605,0.55409565915195,0.547133215346491,"ZFHX4","lusc"
"231","lusc_ZAN",0.499883241720457,0.552447552447553,0.553038524145415,"ZAN","lusc"
"232","lusc_XIRP2",3.01659109195117e-08,0.571480938416422,0.540816326530612,"XIRP2","lusc"
"233","lusc_WDFY4",2.98136580583734e-25,0.503030303030303,0.557951529669745,"WDFY4","lusc"
"234","lusc_WDFY3",2.90304545909872e-09,0.583333333333333,0.55156462585034,"WDFY3","lusc"
"235","lusc_VCAN",1.27540345746634e-08,0.573426573426574,0.549038758000646,"VCAN","lusc"
"236","lusc_USH2A",0.192389722449322,0.550413216084692,0.552974334503629,"USH2A","lusc"
"237","lusc_UNC80",0.0985629069884372,0.557142857142857,0.547355205814474,"UNC80","lusc"
"238","lusc_UNC13C",0.706804952930339,0.554545454545455,0.550430292598967,"UNC13C","lusc"
"239","lusc_TTN",0.00367402916981535,0.547311936822922,0.537391304347826,"TTN","lusc"
"240","lusc_TRPS1",0.551856065726781,0.566666666666667,0.554842300556586,"TRPS1","lusc"
"241","lusc_TRPA1",0.0124327460501589,0.565934065934066,0.55194568868981,"TRPA1","lusc"
"242","lusc_TPTE",6.68444357503423e-07,0.580419580419581,0.548821720098517,"TPTE","lusc"
"243","lusc_TNRC18",7.47688261708639e-29,0.517647058823529,0.557748478583692,"TNRC18","lusc"
"244","lusc_TMEM132D",0.100523085411463,0.543760587238848,0.553714797867824,"TMEM132D","lusc"
"245","lusc_TMEM132C",0.026767358086048,0.557894736842105,0.550051072522983,"TMEM132C","lusc"
"246","lusc_THSD7B",1.22111048072118e-08,0.531468531468532,0.552569476242471,"THSD7B","lusc"
"247","lusc_THSD7A",0.00556982605545501,0.543220763132794,0.550442628532516,"THSD7A","lusc"
"248","lusc_TEX13C",0.0931782977630337,0.545454545454546,0.553209224784663,"TEX13C","lusc"
"249","lusc_TENM3",0.00671244732692518,0.564705882352941,0.551562042445633,"TENM3","lusc"
"250","lusc_TENM1",8.34874423954087e-11,0.527272727272727,0.556451612903226,"TENM1","lusc"
"251","lusc_TACC2",0.346600288477964,0.560439560439561,0.55197115056268,"TACC2","lusc"
"252","lusc_SYNE2",2.8976334083775e-06,0.575757575757576,0.549594035011097,"SYNE2","lusc"
"253","lusc_SYNE1",0.0586172709836068,0.545590994371482,0.552735045997633,"SYNE1","lusc"
"254","lusc_STARD9",0.000558496851936964,0.563636363636364,0.550218593876818,"STARD9","lusc"
"255","lusc_SSPO",0.277796769790644,0.55008547008547,0.54966999221977,"SSPO","lusc"
"256","lusc_SPTA1",0.000159087860916961,0.56779294627935,0.547565543071161,"SPTA1","lusc"
"257","lusc_SPEG",3.3458139590393e-09,0.527272727272727,0.551331235969855,"SPEG","lusc"
"258","lusc_SPATA31D1",0.641969508527588,0.55,0.553704360155973,"SPATA31D1","lusc"
"259","lusc_SPATA31A6",0.720897008577907,0.551515151515152,0.551532211021715,"SPATA31A6","lusc"
"260","lusc_SORCS1",0.485524589683841,0.554545454545455,0.547794364510219,"SORCS1","lusc"
"261","lusc_SI",3.50833151830055e-29,0.513269339356296,0.561502439819745,"SI","lusc"
"262","lusc_SHANK1",7.16632857481449e-07,0.535603715170279,0.554916244803885,"SHANK1","lusc"
"263","lusc_SCN3A",0.0160713388434968,0.566666666666667,0.552447595982329,"SCN3A","lusc"
"264","lusc_SCN1A",0.0555140881744012,0.546428571428571,0.552549908985109,"SCN1A","lusc"
"265","lusc_SALL3",1.20192698899995e-14,0.582417582417582,0.549392315477144,"SALL3","lusc"
